sample_id,book_id,label,position,target_word,normal_word_score,perturbed_word_score,relative_word_score,n_samples,normal_generated_words,perturbed_generated_words
BT_0000,1984_-_George_Orwell,1,1,he,0.7240560054779053,0.6856681108474731,-0.9469821342412372,3,"['then', 'then', 'then']","['made', 'made', 'made']"
BT_0000,1984_-_George_Orwell,1,2,was,0.7475413680076599,0.7475413680076599,-0.999999986622814,3,"['had', 'had', 'had']","['had', 'had', 'had']"
BT_0000,1984_-_George_Orwell,1,3,arrested,0.7169161438941956,0.6431245803833008,-0.8970708455792653,3,"['a', 'a', 'a']","['looking', 'looking', 'looking']"
BT_0000,1984_-_George_Orwell,1,4,he,0.7207114696502686,0.7207114696502686,-0.999999986124822,3,"['for', 'for', 'for']","['for', 'for', 'for']"
BT_0000,1984_-_George_Orwell,1,5,had,1.0,1.0,-0.9999999900000002,3,"['had', 'had', 'had']","['had', 'had', 'had']"
BT_0000,1984_-_George_Orwell,1,6,not,0.6630556583404541,0.6630556583404541,-0.99999998491831,3,"['been', 'been', 'been']","['been', 'been', 'been']"
BT_0000,1984_-_George_Orwell,1,7,been,1.0,1.0,-0.9999999900000002,3,"['been', 'been', 'been']","['been', 'been', 'been']"
BT_0000,1984_-_George_Orwell,1,8,fed.,0.6693395972251892,0.6573809385299683,-0.9821336305723836,3,"['able.', 'able.', 'able.']","['able', 'able', 'able']"
BT_0000,1984_-_George_Orwell,1,9,He,0.8791528940200806,0.744287371635437,-0.84659604516126,3,"['His', 'His', 'His']","['and', 'and', 'and']"
BT_0000,1984_-_George_Orwell,1,10,sat,0.5752416253089905,0.6048304438591003,-1.051437181757917,3,"[""hadn't"", ""hadn't"", ""hadn't""]","['anything.', 'anything.', 'anything.']"
BT_0000,1984_-_George_Orwell,1,11,as,0.7019022107124329,0.7019022107124329,-0.9999999857530012,3,"['in', 'in', 'in']","['in', 'in', 'in']"
BT_0000,1984_-_George_Orwell,1,12,still,0.5800136923789978,0.9474179148674012,-1.6334405738717026,3,"['starving,', 'starving,', 'starving,']","['still,', 'still,', 'still,']"
BT_0000,1984_-_George_Orwell,1,13,as,1.0,1.0,-0.9999999900000002,3,"['as', 'as', 'as']","['as', 'as', 'as']"
BT_0000,1984_-_George_Orwell,1,14,he,0.7097499966621399,0.6241887211799622,-0.8794487006987698,3,"['a', 'a', 'a']","['possible,', 'possible,', 'possible,']"
BT_0000,1984_-_George_Orwell,1,15,could,0.9119381904602052,0.8394062519073486,-0.920463965084198,3,"['could.', 'could.', 'could.']","['possible,', 'possible,', 'possible,']"
BT_0000,1984_-_George_Orwell,1,16,on,0.7626075148582458,1.0000001192092896,-1.311290652941263,3,"['in', 'in', 'in']","['on', 'on', 'on']"
BT_0000,1984_-_George_Orwell,1,17,the,1.0,1.0,-0.9999999900000002,3,"['the', 'the', 'the']","['the', 'the', 'the']"
BT_0000,1984_-_George_Orwell,1,18,narrow,0.6476941108703613,0.6261979937553406,-0.96681129807673,3,"['cold,', 'cold,', 'cold,']","['stone', 'stone', 'stone']"
BT_0000,1984_-_George_Orwell,1,19,"bench,",1.0,1.0,-0.9999999900000002,3,"['bench,', 'bench,', 'bench,']","['bench,', 'bench,', 'bench,']"
BT_0001,The_Alchemist_-_Paulo_Coelho,1,1,I,0.7342814803123474,0.6738508542378744,-0.9177009949566246,3,"['then""', ""I've"", 'then""']","['realize', 'realize.""', 'realize.""']"
BT_0001,The_Alchemist_-_Paulo_Coelho,1,2,know,0.5963132977485657,0.6669673522313436,-1.1184847689372197,3,"['was”', 'was”', 'was”']","['could', 'could', 'thought']"
BT_0001,The_Alchemist_-_Paulo_Coelho,1,3,the,0.705146312713623,0.6741516590118408,-0.9560450608570076,3,"['that', 'that', 'that']","[""you're"", ""you're"", ""you're""]"
BT_0001,The_Alchemist_-_Paulo_Coelho,1,4,Soul,0.6875802278518677,0.6524565815925598,-0.9489170073167884,3,"['reason', 'reason', 'reason']","['one', 'one', 'one']"
BT_0001,The_Alchemist_-_Paulo_Coelho,1,5,of,1.0,0.6743078827857971,-0.6743078760427184,3,"['of', 'of', 'of']","['Song,', 'Song,', 'Song,']"
BT_0001,The_Alchemist_-_Paulo_Coelho,1,6,the,1.0,1.0,-0.9999999900000002,3,"['the', 'the', 'the']","['the', 'the', 'the']"
BT_0001,The_Alchemist_-_Paulo_Coelho,1,7,"World,",0.7851778268814087,1.0,-1.273596824856682,3,"['Earth', 'Earth', 'Earth']","['World,', 'World,', 'World,']"
BT_0001,The_Alchemist_-_Paulo_Coelho,1,8,because,0.7067303657531738,1.0,-1.4149667741877996,3,"['and', 'and', 'and']","['because', 'because', 'because']"
BT_0001,The_Alchemist_-_Paulo_Coelho,1,9,we,0.8049505352973938,0.8049505352973938,-0.9999999875768764,3,"['I', 'I', 'I']","['I', 'I', 'I']"
BT_0001,The_Alchemist_-_Paulo_Coelho,1,10,have,0.6693390607833862,0.6693390607833862,-0.999999985059889,3,"['are', 'are', 'are']","['are', 'are', 'are']"
BT_0001,The_Alchemist_-_Paulo_Coelho,1,11,talked,0.6671460469563802,0.7074242830276489,-1.060373925096738,3,"['the', 'lived', 'the']","['been', 'been', 'been']"
BT_0001,The_Alchemist_-_Paulo_Coelho,1,12,at,0.6603029370307922,0.7025890350341797,-1.064040435066263,3,"['before""', 'before""', 'before""']","['about', 'about', 'about']"
BT_0001,The_Alchemist_-_Paulo_Coelho,1,13,great,0.6551645994186401,0.6389635801315308,-0.9752718186327471,3,"['length,', 'length,', 'length,']","['length.', 'length.', 'length.']"
BT_0001,The_Alchemist_-_Paulo_Coelho,1,14,length,0.9571651220321656,1.0,-1.0447518056543612,3,"['length.', 'length.', 'length.']","['length', 'length', 'length']"
BT_0001,The_Alchemist_-_Paulo_Coelho,1,15,to,0.6855215430259705,0.7287518382072449,-1.063061890600596,3,"['and', 'and', 'and']","['about', 'about', 'about']"
BT_0001,The_Alchemist_-_Paulo_Coelho,1,16,each,1.0,1.0,-0.9999999900000002,3,"['each', 'each', 'each']","['each', 'each', 'each']"
BT_0001,The_Alchemist_-_Paulo_Coelho,1,17,other,0.7181994915008545,0.5972964763641357,-0.8316581606029213,3,"['each', 'each', 'each']","['length', 'length', 'length']"
BT_0001,The_Alchemist_-_Paulo_Coelho,1,18,during,0.6580778360366821,0.715259313583374,-1.086891646468683,3,"['and', 'and', 'and']","['about', 'about', 'about']"
BT_0001,The_Alchemist_-_Paulo_Coelho,1,19,this,0.736229419708252,0.7742152214050293,-1.051595046549321,3,"['my', 'my', 'my']","['those', 'those', 'those']"
BT_0002,Oliver_Twist_-_Charles_Dickens,1,1,Bates,0.6645870208740234,0.6321181058883667,-0.9511442091445034,3,"['Chef', 'Chef', 'Chef']","['and', 'and', 'and']"
BT_0002,Oliver_Twist_-_Charles_Dickens,1,2,"followed,",0.663212776184082,0.663212776184082,-0.9999999849218828,3,"['was', 'was', 'was']","['was', 'was', 'was']"
BT_0002,Oliver_Twist_-_Charles_Dickens,1,3,with,0.6904375553131104,0.7502042055130005,-1.086563424707035,3,"['his', 'his', 'his']","['and', 'and', 'and']"
BT_0002,Oliver_Twist_-_Charles_Dickens,1,4,a,0.7324447631835938,0.7954018712043762,-1.085954737238601,3,"['his', 'his', 'his']","['the', 'the', 'the']"
BT_0002,Oliver_Twist_-_Charles_Dickens,1,5,thoughtful,0.6686949729919434,0.6330406665802002,-0.946680747846776,3,"['grin', 'grin', 'grin']","['disapproving', 'disapproving', 'disapproving']"
BT_0002,Oliver_Twist_-_Charles_Dickens,1,6,countenance.,0.5621322393417358,0.6432378888130188,-1.1442821321250625,3,"['expression', 'expression', 'expression']","['expression.', 'expression.', 'expression.']"
BT_0002,Oliver_Twist_-_Charles_Dickens,1,7,The,0.780502200126648,0.780502200126648,-0.9999999871877364,3,"['His', 'His', 'His']","['His', 'His', 'His']"
BT_0002,Oliver_Twist_-_Charles_Dickens,1,8,noise,0.6165957450866699,0.6165957450866699,-0.9999999837819188,3,"['expression', 'expression', 'expression']","['expression', 'expression', 'expression']"
BT_0002,Oliver_Twist_-_Charles_Dickens,1,9,of,0.6757313013076782,1.0,-1.4798781457452304,3,"['grew', 'grew', 'grew']","['of', 'of', 'of']"
BT_0002,Oliver_Twist_-_Charles_Dickens,1,10,footsteps,0.6269790530204773,0.6516133546829224,-1.0392904534064809,3,"['shattering', 'shattering', 'shattering']","['the', 'the', 'the']"
BT_0002,Oliver_Twist_-_Charles_Dickens,1,11,on,0.6744687557220459,0.6744687557220459,-0.9999999851735164,3,"['echoed', 'echoed', 'echoed']","['echoed', 'echoed', 'echoed']"
BT_0002,Oliver_Twist_-_Charles_Dickens,1,12,the,1.0,1.0,-0.9999999900000002,3,"['the', 'the', 'the']","['the', 'the', 'the']"
BT_0002,Oliver_Twist_-_Charles_Dickens,1,13,creaking,0.9569169282913208,0.6146920919418335,-0.6423672393545807,3,"['creaky', 'creaky', 'creaky']","['landing.', 'landing.', 'landing.']"
BT_0002,Oliver_Twist_-_Charles_Dickens,1,14,"stairs,",0.6810526847839355,0.6810526847839355,-0.9999999853168484,3,"['wooden', 'wooden', 'wooden']","['wooden', 'wooden', 'wooden']"
BT_0002,Oliver_Twist_-_Charles_Dickens,1,15,a,0.6851312518119812,0.6851312518119812,-0.9999999854042566,3,"['echoed', 'echoed', 'echoed']","['echoed', 'echoed', 'echoed']"
BT_0002,Oliver_Twist_-_Charles_Dickens,1,16,few,0.7340114712715149,0.5980409383773804,-0.8147569263377253,3,"['somewhat', 'somewhat', 'somewhat']","['floorboard', 'floorboard', 'floorboard']"
BT_0002,Oliver_Twist_-_Charles_Dickens,1,17,minutes,0.7008275985717773,0.6782954931259155,-0.9678492753848836,3,"['yards', 'yards', 'yards']","['moments', 'moments', 'moments']"
BT_0002,Oliver_Twist_-_Charles_Dickens,1,18,after,0.8257333040237427,0.8050140142440796,-0.9749080006489028,3,"['later,', 'later,', 'later,']","['later.', 'later.', 'later.']"
BT_0002,Oliver_Twist_-_Charles_Dickens,1,19,the,0.7436275482177734,0.6360412836074829,-0.8553223674655914,3,"['he', 'he', 'he']","['later.', 'later.', 'later.']"
BT_0003,Unfortunately_Yours_-_Tessa_Bailey,0,1,August,0.575465202331543,0.6251001358032227,-1.086251822713279,3,"[""it's"", ""it's"", ""it's""]","['as', 'as', 'as']"
BT_0003,Unfortunately_Yours_-_Tessa_Bailey,0,2,continues,0.692970871925354,0.7035937905311584,-1.0153295165538407,3,"['was', 'was', 'was']","['is', 'is', 'is']"
BT_0003,Unfortunately_Yours_-_Tessa_Bailey,0,3,to,1.0,1.0,-0.9999999900000002,3,"['to', 'to', 'to']","['to', 'to', 'to']"
BT_0003,Unfortunately_Yours_-_Tessa_Bailey,0,4,try,0.6138586401939392,0.5945817232131958,-0.9685971241512142,3,"['be', 'be', 'be']","['sneak', 'sneak', 'sneak']"
BT_0003,Unfortunately_Yours_-_Tessa_Bailey,0,5,and,0.6855215430259705,0.6855215430259705,-0.9999999854125664,3,"['to', 'to', 'to']","['to', 'to', 'to']"
BT_0003,Unfortunately_Yours_-_Tessa_Bailey,0,6,fail,0.674500584602356,0.6308049559593201,-0.9352177907733408,3,"['improve', 'improve', 'improve']","['sneak', 'sneak', 'sneak']"
BT_0003,Unfortunately_Yours_-_Tessa_Bailey,0,7,and,0.6855215430259705,0.6855215430259705,-0.9999999854125664,3,"['to', 'to', 'to']","['to', 'to', 'to']"
BT_0003,Unfortunately_Yours_-_Tessa_Bailey,0,8,try,0.679072916507721,0.6827770471572876,-1.005454672841422,3,"['eventually', 'eventually', 'eventually']","['keep', 'keep', 'keep']"
BT_0003,Unfortunately_Yours_-_Tessa_Bailey,0,9,againand,0.6541152596473694,0.6541152596473694,-0.9999999847121744,3,"['to', 'to', 'to']","['to', 'to', 'to']"
BT_0003,Unfortunately_Yours_-_Tessa_Bailey,0,10,eventually,0.95329749584198,0.6801489591598511,-0.7134697772644687,3,"['eventually.', 'eventually.', 'eventually.']","['I', 'I', 'I']"
BT_0003,Unfortunately_Yours_-_Tessa_Bailey,0,11,hes,0.8791365623474121,0.8791365623474121,-0.999999988625203,3,"['he', 'he', 'he']","['he', 'he', 'he']"
BT_0003,Unfortunately_Yours_-_Tessa_Bailey,0,12,going,0.6880561709403992,0.6496953368186951,-0.9442475117812698,3,"['able', 'able', 'able']","['able.', 'able.', 'able.']"
BT_0003,Unfortunately_Yours_-_Tessa_Bailey,0,13,to,1.0,0.6666134595870972,-0.6666134529209626,3,"['to', 'to', 'to']","['able.', 'able.', 'able.']"
