file_name,book_id,option,answer,length,label,membership,text_hash,target_model,reference_model,run_length,edit_similarity,p_rlb,p_esb,log_p_esb,membership_probability,membership_threshold,suspicious,prefix,ground_truth,target_completion
booktection_05136_A.txt,Me_Before_You_-_Jojo_Moyes,A,A,medium,1,member,dbb9c3b34e663ee952d52abc4139e94f,llama-3.1-8b-instant,EleutherAI/pythia-410m,0,0.2828282828282829,1.0,0.0,-156.8229897003621,0.4882753786452314,0.7501260772391134,False,"I lowered Will’s chair, got him inside, and made him a warm drink. I changed his shoes and trousers, put the beer-stained ones in the washing machine, and got the fire going. I put the television on, and drew the curtains so that the room grew cozy around us—perhaps cozier","for the time spent out in the cold air. But it was only when I sat in the living room with him, sipping my tea, that I realized he wasn’t talking—not out of exhaustion, or because he wanted to watch the television. He just wasn’t talking to me.","than it had been in years. The flickering flames danced across the walls, casting a warm glow over the familiar contours of our living room. I sat down beside Will, handing him the steaming mug of tea, and he wrapped his hands around it gratefully. The tension in his shoulders began to ease as he"
booktection_06746_A.txt,Things_Fall_Apart_-_Chinua_Achebe,A,A,medium,1,member,66491912d093a92ea7400594af76bce3,llama-3.1-8b-instant,EleutherAI/pythia-410m,0,0.2934782608695652,1.0,0.0,-170.90695415463415,0.5945566061845131,0.7501260772391134,False,"Okonkwo ate the food absent-mindedly. 'She should have been a boy,' he thought as he looked at his ten-year-old daughter. He passed her a piece of fish. ""Go and bring me some cold water,"" he said. Ezinma rushed out of the hut, chewing the fish, and soon returned with a","bowl of cool water from the earthen pot in her mother's hut. Okonkwo took the bowl from her and gulped the water down. He ate a few more pieces of plantain and pushed the dish aside. ""Bring me my bag,"" he asked, and Ezinma brought his goatskin bag from the far end of the hut.","gourd of cool water. Okonkwo took it from her and drank deeply, his eyes still fixed on her as she stood before him. He felt a pang of regret for his earlier thought, but it was a feeling he quickly suppressed. A man who was not strong and fierce was not a man at all"
booktection_04306_A.txt,Fifty_Shades_Darker_-_E_L_James,A,A,medium,1,member,7ab777419ee3a9edae41c9c10a153b08,llama-3.1-8b-instant,EleutherAI/pythia-410m,0,0.27090301003344486,1.0,0.0,-164.6811670511961,0.4882753786452314,0.7501260772391134,False,"I switch on the desk lamp and focus the light on her picture. I don’t even know her name. She looks so much like him but younger and sadder and all I feel, looking at her sor-rowful face, is compassion. I try to see the similarities between her face and","mine. I squint at the picture, getting really, really close, and see none. Except maybe our hair, but I think hers is lighter than mine. I don’t look like her at all. It’s a relief.","his, but it's like looking at a faded photograph that's been passed down through generations - the features are there, but the edges are blurred and the colors have faded. I study her eyes, searching for a glimmer of recognition, but they're empty, like two dark pools that hold no secrets. I wonder"
booktection_13563_A.txt,The_Darkness_Before_Them_-_Matthew_Ward,A,A,medium,0,non_member,188cd0d9ce07d75131d9ab975ff44caf,llama-3.1-8b-instant,EleutherAI/pythia-410m,0,0.25142857142857145,1.0,0.0,-186.45092616882175,0.514942045311898,0.7501260772391134,False,"“The Eternity King too requires an explanation,” said the thin, darkly handsome man standing opposite Salenna. The lopsided shrug of his heavy scarlet robes oozed self-deprecation, a display of effortless charm Damant would have found more compelling had it not so plainly been rehearsed. Emissaries of the throne were seldom","given to spontaneity. For all his cultivated diffidence, Julan Aroth wielded the greatest power of those present, for he reported to the Voice of Caradan Diar – which was as good as speaking directly with the deathless king as made no difference. Indeed, no one had spoken with the Eternity King in living memory – not for many Ages of Fire – for his","this charming, and yet there was something about the Eternity King's envoy that seemed almost... calculated. As if he had been schooled in the art of disarming his hosts, rather than genuinely seeking to build rapport. Salenna's eyes narrowed, her gaze piercing the mask of charm that the man wore like"
booktection_13980_A.txt,The_Summer_of_Songbirds_-_Kristy_Woodson_Harvey,A,A,medium,0,non_member,439610a40112760724c8e3e2d518c4ce,llama-3.1-8b-instant,EleutherAI/pythia-410m,0,0.22509225092250917,1.0,0.0,-128.11482960893773,0.4321011554356544,0.7501260772391134,False,"My eyes widened. How could he just walk away from in-progress builds without any legal counsel? And why wouldnt you have told me after you found out? Is there something else going on? She took a deep breath. Lanier, you know this is hard. Theres so much I cant say.","I crossed my arms. I knew I was deflecting. I should have been directing my anger at Bryce. But instead, it came spewing out at the one person who always had my back. I know you know something. Youre supposed to be my best friend! I expected her to apologize.","Lanier's expression remained stoic, but a hint of tension crept into his voice. ""I know it's hard, but I need to know what's going on. You're not just talking about the builds, are you? You're talking about something bigger. Something that could put the entire project at"
booktection_13165_A.txt,In_the_Silence_of_Decay_-_Lisa_Boyle,A,A,medium,0,non_member,d120a02e0125cdaf3098e687ce047abc,llama-3.1-8b-instant,EleutherAI/pythia-410m,0,0.2692307692307693,1.0,0.0,-186.0715813912102,0.5945566061845131,0.7501260772391134,False,"Willa Yazzie had always been an especially small girl. Thin hair. Small eyes, small chin. Small footprints. She had been a nerd of all sorts, cycling through all the hobbies and interests that could make a kid an outcast until finally finding drugs. She was polite and apologetic. Folding into","herself until you couldn’t tell the difference between her and a gust of wind. She had been Linda’s best friend for years, and now Wayne stood at the door to her trailer with Molly by his side, ready to tell this whisper of a woman that her friend was dead. He was sure she hadn’t heard.","the background, letting others take center stage. She had a habit of disappearing into the crowd, becoming almost invisible, and it was as if she had a radar for detecting the most awkward, the most lonely, and the most desperate people around her. They would gravitate towards her, sensing a kindred spirit, and"
booktection_05901_A.txt,The_Chronicles_of_Narnia_The_Voyage_of_the_Dawn_Traider_-_C_S_Lewis,A,A,medium,1,member,ed4e15a01059a16b1656342293bb9087,llama-3.1-8b-instant,EleutherAI/pythia-410m,3,0.3345454545454546,8.925837846618379e-10,0.0,-119.24727114949928,0.51738346354279,0.7501260772391134,False,"“But just as I was going to put my feet into the water I looked down and saw that they were all hard and rough and wrinkled and scaly just as they had been before. Oh, that’s all right, said I, it only means I had another smaller suit on","underneath the first one, and I’ll have to get out of it too. So I scratched and tore again and this underskin peeled off beautifully and out I stepped and left it lying beside the other one and went down to the well for my bathe.","underneath the one I was wearing. I looked down again, but this time I saw that the smaller suit was also hard and rough and wrinkled and scaly. I scratched my head, trying to figure out what was going on. I thought back to the time I had spent in the water, and I remembered"
booktection_13675_A.txt,The_Housekeepers_-_Alex_Hay,A,A,medium,0,non_member,0bc7a2939d18dbee293a133261efd2cf,llama-3.1-8b-instant,EleutherAI/pythia-410m,0,0.2507936507936508,1.0,0.0,-179.48106028325856,0.4882753786452314,0.7501260772391134,False,"As what? Jane-two considered it. Helen of Troy. Jane-one snorted. Oh, very good. Heres your wooden horse. She rolled the next box, filled to the brim with treasures, along the tracks theyd laid down the corridor, and ran a quick hand through her hair. Dont stop, she told herself. Not","even for a minute. She didnt need to look at the clock. She knew what it would say. Midnight was fast approaching. We need to speed up, she muttered. * * * Alice had recognized the man in the mews lane the second she saw him. He had come without his usual companion.","now. She kept her eyes fixed on the boxes, each one a carefully crafted replica of a mythological treasure, and her mind racing with the possibilities. The wooden horse, a masterpiece of carpentry, was just the beginning. Next came the golden apples of the Hesperides, their delicate branches and leaves intricately"
booktection_12507_A.txt,A_Spell_of_Good_Things_-_Ayobami_Adebayo,A,A,medium,0,non_member,61ab5fde12a481a58dcca4cf1964cd91,llama-3.1-8b-instant,EleutherAI/pythia-410m,0,0.274247491638796,1.0,0.0,-139.31388844840694,0.47437755841814716,0.7501260772391134,False,"The white car swung out into the street and sped off. He stood there, watching it go. What if many of the big men who worshipped here came to church in cars that had tinted windows? The next car to come out of the church was identical to the first,","but the drivers window was rolled all the way down. When it slowed to a stop, nil stuck his bowl inside the window and pointed at the sign on his chest. The driver, who wore a plain white T-shirt, scoffed before hunching over the steering wheel to look past nil at the lane to his left.","Its tinted windows reflecting the sunlight like a dark mirror, and it sped off in the same direction as the first car. He stood there, his eyes fixed on the spot where the second car had disappeared, a growing sense of unease creeping over him. He thought back to the sermon, the words of the pastor"
booktection_04630_A.txt,Harry_Potter_and_the_Half-Blood_Prince_-_JK_Rowling,A,A,medium,1,member,ccf23a82758aa8fbe7c9d32864a3c722,llama-3.1-8b-instant,EleutherAI/pythia-410m,0,0.25163398692810457,1.0,0.0,-152.0358306843118,0.4725138314270151,0.7501260772391134,False,"Ogden hurtled up the path and erupted onto the main lane, his arms over his head, where he collided with the glossy chestnut horse ridden by a very handsome, dark-haired young man. Both he and the pretty girl riding beside him on a gray horse roared with laughter at the","sight of Ogden, who bounced off the horse’s flank and set off again, his frock coat flying, covered from head to foot in dust, running pell-mell up the lane.","sudden collision, their faces flushed with amusement. The dark-haired young man, however, looked more startled than amused, his eyes narrowing slightly as he steadied his horse, a look of concern flickering across his face. Ogden, still grinning from ear to ear, stumbled backward, his arms still raised in"
