id,dataset,label,membership,prefix,ground_truth,target_completion,run_length,p_rlb,edit_similarity,p_esb,log_p_esb,target_model,reference_model
WikiMIA_WikiMIA_length256_00000.txt,WikiMIA_length256,1,member,"Hurricane Ana was the second tropical cyclone in 2014 to threaten the U.S. state of Hawaii with a direct hit, after Iselle in August. The twenty-first named storm and fifteenth hurricane of the 2014 Pacific hurricane season, Ana formed from a disturbance that formed in the Central Pacific in mid-October.","It rapidly consolidated, and a tropical depression developed by October 13. Aided by favorable conditions, Ana gradually strengthened while moving westward, threatening to pass over the island chain of Hawaii once or several times as indicated by early forecasts. By October 17, it had strengthened to a hurricane south of Hawaii and reached its peak intensity shortly afterwards while also making its closest approach.","It moved westward, gradually intensifying into a tropical storm on October 18, and then into a hurricane on October 20. At its peak, Ana reached maximum sustained winds of 120 mph (195 km/h) and a minimum central pressure of 955 mbar. The storm's trajectory brought it close to",1,0.00042352513992227614,0.26730310262529833,0.0,-107.21200593432877,llama-3.1-8b-instant,EleutherAI/pythia-410m
WikiMIA_WikiMIA_length256_00001.txt,WikiMIA_length256,1,member,"The 2013–2016 epidemic of Ebola virus disease, centered in Western Africa, was the most widespread outbreak of the disease in history. It caused major loss of life and socioeconomic disruption in the region, mainly in Guinea, Liberia and Sierra Leone. The first cases were recorded in Guinea in December 2013;","later, the disease spread to neighbouring Liberia and Sierra Leone, with minor outbreaks occurring in Nigeria and Mali. Secondary infections of medical workers occurred in the United States and Spain. In addition, isolated cases were recorded in Senegal, the United Kingdom and Italy. The number of cases peaked in October 2014 and then began to decline gradually, following the commitment of substantial international resources.","the initial cluster of cases was linked to a two-year-old boy who died in the town of Gueckedou, near the border with Liberia. The boy's family had been in close contact with him, and soon, several family members and healthcare workers who had treated him also fell ill with the disease.

As",0,1.0,0.27039627039627034,0.0,-138.15559091675095,llama-3.1-8b-instant,EleutherAI/pythia-410m
WikiMIA_WikiMIA_length256_00002.txt,WikiMIA_length256,1,member,"The case of Ashya King concerns a boy named Ashya King, who had a brain tumour. His parents, Brett and Naghemeh King, took their son out of Southampton General Hospital (England) in August 2014 over a disagreement with doctors regarding his treatment.Ashya had a medulloblastoma, which was successfully removed through","surgery on 24 July 2014. He received further neurosurgery on 22 August.His parents desired their son be treated with proton therapy, which they felt was less harmful than conventional radiotherapy. At that time, the National Health Service (NHS) did not provide proton therapy in the United Kingdom. However, it has funded treatment abroad since April 2008 where evidence has shown there to be benefit.","surgery. However, the doctors at Southampton General Hospital wanted to start Ashya on a course of proton beam therapy to target any remaining cancer cells. The Kings disagreed with this decision, citing concerns about the potential side effects of the treatment and its impact on their son's quality of life.

As a result, Brett and",1,4.559631270240061e-05,0.27611940298507465,0.0,-142.82911656203214,llama-3.1-8b-instant,EleutherAI/pythia-410m
WikiMIA_WikiMIA_length256_00003.txt,WikiMIA_length256,0,non_member,"The 16th Houston Film Critics Society Awards were announced on February 18, 2023, at the Midtown Arts & Theater Center Houston (MATCH) in Texas. The nominations were announced on January 10, 2023, with The Banshees of Inisherin and Everything Everywhere All at Once leading the nominations with nine each. Both","films won the most awards with three each, with Everything Everywhere All at Once winning Best Picture. The nominees for the Texas Independent Film Award were announced on December 7, 2022.Hosted by local film critics and film industry notables, the event featured live, abridged performances of the five Best Original Song nominees, which went to ""Naatu Naatu"" from RRR, and the awarding of the","films were also nominated for Best Picture, along with The Fabelmans, Tár, and Women Talking. The Banshees of Inisherin's Martin McDonagh was nominated for Best Director, while Daniel Kwan and Daniel Scheinert of Everything Everywhere All at Once were also in the running for the award.

",1,0.00016873043205123395,0.2759493670886076,0.0,-177.81073997504427,llama-3.1-8b-instant,EleutherAI/pythia-410m
WikiMIA_WikiMIA_length256_00004.txt,WikiMIA_length256,1,member,"The Cuban thaw (Spanish: Deshielo cubano) was the normalization of Cuba–United States relations that began in December 2014 ending a 54-year stretch of hostility between the nations. In March 2016, Barack Obama became the first U.S. president to visit Cuba since Calvin Coolidge, in 1928.On December 17, 2014, U.S. President","Barack Obama and Cuban leader Raúl Castro announced the beginning of the process of normalizing relations between Cuba and the United States. The normalization agreement was secretly negotiated in preceding months, facilitated by Pope Francis and largely hosted by the Government of Canada. Meetings were held in both Canada and Vatican City. The agreement would see the lifting of some U.S. travel restrictions, fewer","Barack Obama and Cuban President Raúl Castro announced a major shift in their countries' relations, with the U.S. agreeing to ease restrictions on travel and trade with Cuba. This move marked a significant step towards reconciliation between the two nations, which had been estranged since the 1959 Cuban Revolution.

As part",5,1.444791541871382e-05,0.36124401913875603,0.0,-113.60751671471371,llama-3.1-8b-instant,EleutherAI/pythia-410m
WikiMIA_WikiMIA_length256_00005.txt,WikiMIA_length256,0,non_member,"On January 19, 2023, the United States hit its debt ceiling, beginning an ongoing debt-ceiling crisis. In response, Janet Yellen, the secretary of the treasury, began enacting temporary ""extraordinary measures"". The crisis is part of a political debate within Congress about federal government spending and the national debt that the","U.S. government accrues.In the United States, the debt ceiling is a limit on how much national debt the Treasury Department may incur, defined by Congress. Although the debt ceiling does not authorize new spending, it grants the Treasury greater power over financial endeavors Congress may choose to take. In January 2013, the United States hit the debt ceiling, causing a crisis that persisted until","country has accumulated over the years. The debt ceiling, which is the maximum amount of debt that the federal government is allowed to incur, has been a contentious issue in American politics for decades. 

As the debt-ceiling crisis continued, lawmakers on both sides of the aisle struggled to reach a compromise on a long-term solution",0,1.0,0.2875,0.0,-126.78895373234991,llama-3.1-8b-instant,EleutherAI/pythia-410m
WikiMIA_WikiMIA_length256_00006.txt,WikiMIA_length256,1,member,"The 2014 Gaza War, also known as Operation Protective Edge (Hebrew: מִבְצָע צוּק אֵיתָן, romanized: Miv'tza Tzuk Eitan, lit. 'Operation Strong Cliff'), was a military operation launched by Israel on 8 July 2014 in the Gaza Strip, a Palestinian territory that has been governed by Hamas since 2007. Following the","kidnapping and murder of three Israeli teenagers in the West Bank by Hamas-affiliated Palestinian militants, the Israel Defense Forces (IDF) initiated Operation Brother's Keeper, in which some 350 Palestinians, including nearly all of the active Hamas militants in the West Bank, were arrested. Hamas subsequently fired a greater number of rockets into Israel from the Gaza Strip, triggering a seven-week-long conflict between the two","kidnapping and murder of three Israeli teenagers, Naftali Frenkel, Gilad Shaar, and Eyal Yifrach, in the West Bank on 12 June 2014, Israel launched a military operation in the Gaza Strip, which escalated into a full-scale conflict. The Israeli military operation,",9,6.296624333046452e-11,0.3248847926267281,0.0,-106.17544640018605,llama-3.1-8b-instant,EleutherAI/pythia-410m
WikiMIA_WikiMIA_length256_00007.txt,WikiMIA_length256,0,non_member,"The floods in South Africa in February-March 2023 were caused by heavy rainfall as a result of the La Niña weather phenomenon, affecting seven provinces, including Eastern Cape, Northern Cape, Mpumalanga, KwaZulu-Natal, and North West. The floods have caused casualties and damage to homes, businesses, basic infrastructure, roads, bridges and","affected crops and livestock. At least twelve people have died across the provinces and others are missing. In addition to that, two more fatalities have been reported in King Sabata Dalindyebo Local Municipality (Eastern Cape Province), and one person in Komani Town (formerly Queenstown). Several people have been evacuated in Lekwa Local Municipality and residents in the area of Vaal, Vanderkloof, and Bloemhof dams","agricultural land. The affected provinces have reported significant losses, with many communities left without access to basic necessities such as food, water, and shelter. The government has deployed emergency services, including the South African National Defence Force (SANDF), to assist with search and rescue operations, evacuation efforts, and providing aid",0,1.0,0.2601431980906921,0.0,-134.54890633537434,llama-3.1-8b-instant,EleutherAI/pythia-410m
WikiMIA_WikiMIA_length256_00008.txt,WikiMIA_length256,1,member,Conference of Western Balkan States was a 28 August 2014 conference of heads of states and governments of Western Balkans region initiated by German chancellor Angela Merkel. An idea for organization of conference came in light of the celebration of the 100th anniversary of the beginning of World War I.,It is the first conference in this framework and organizers expressed their desire to continue it in future with Vienna and Paris mentioned as a potential next hosts after Berlin (so called Berlin Process). Günther Oettinger confirmed at conference that event will be organised annually with Vienna as a host city in 2015 and Paris in 2016.The German chancellor announced intention to organize a,"The conference aimed to promote regional cooperation, stability, and economic growth in the Western Balkans, as well as to strengthen ties between the region and the European Union. The meeting was attended by the heads of state and government of Albania, Bosnia and Herzegovina, Croatia, Kosovo, Macedonia, Montenegro, and Serbia",0,1.0,0.2784810126582279,7.855476507195045e-37,-83.1344366276171,llama-3.1-8b-instant,EleutherAI/pythia-410m
WikiMIA_WikiMIA_length256_00009.txt,WikiMIA_length256,1,member,"The war on terror, officially the Global War on Terrorism (GWOT), is a global counterterrorism military campaign initiated by the United States following the September 11 attacks and is also the most recent global conflict spanning multiple wars. The main targets of the campaign were militant Islamist and Salafi jihadist","armed organisations such as Al-Qaeda, the Islamic State, and their international affiliates, which were waging military insurgencies to overthrow governments of various Muslim-majority countries. Other major targets included the Ba'athist regime in Iraq, which was toppled during an invasion in 2003, and various militant factions that fought during the ensuing Iraqi insurgency. The ""war on terror"" was officially declared over in May 2010 and","groups, including al-Qaeda, the Taliban, and their affiliates. The GWOT was launched in response to the 9/11 attacks, which were carried out by al-Qaeda, an Islamist extremist group led by Osama bin Laden. The attacks resulted in the deaths of nearly 3,000 people and caused widespread destruction in",0,1.0,0.3130630630630631,3.900551830246972e-38,-86.13711748633068,llama-3.1-8b-instant,EleutherAI/pythia-410m
WikiMIA_WikiMIA_length256_00010.txt,WikiMIA_length256,1,member,"Hamas, the governing authority in the Gaza Strip, has constructed a sophisticated network of military tunnels since it seized control of the Strip in 2007. The tunnel system branches beneath many Gazan towns and cities, such as Khan Yunis, Jabalia and the Shati refugee camp. The internal tunnels, running some","dozens of kilometres within the Gaza Strip, have several functions. Hamas uses the tunnels to hide its arsenal of rocketry underground, to facilitate communication, to permit munition stocks to be hidden, and to conceal militants, making detection from the air difficult. Hamas leader Khalid Meshal said in an interview with Vanity Fair that the tunnel system is a defensive structure, designed to place obstacles","...300-400 meters in length, are often used for military purposes, such as storing ammunition and equipment, as well as for the movement of fighters. These internal tunnels are typically narrow and low-ceilinged, making them difficult for larger groups of people to navigate.

The tunnel system also includes external tunnels that extend from",0,1.0,0.288135593220339,0.0,-157.46360783977434,llama-3.1-8b-instant,EleutherAI/pythia-410m
WikiMIA_WikiMIA_length256_00011.txt,WikiMIA_length256,0,non_member,"Marchetti's constant is the average time spent by a person for commuting each day. Its value is approximately one hour, or half an hour for a one-way trip. It is named after Italian physicist Cesare Marchetti, though Marchetti himself attributed the ""one hour"" finding to transportation analyst and engineer Yacov","Zahavi.Marchetti posits that although forms of urban planning and transport may change, and although some live in villages and others in cities, people gradually adjust their lives to their conditions (including location of their homes relative to their workplace) such that the average travel time stays approximately constant. Ever since Neolithic times, people have kept the average time spent per day for travel the","Yacov Zahavi, who first proposed the concept in the 1970s. Marchetti's constant has been observed in various studies across different countries and cultures, suggesting that it is a universal phenomenon. The constant has been used to estimate travel times and to understand the relationship between urban density and travel behavior.

One",0,1.0,0.27446300715990457,0.0,-154.4758341680281,llama-3.1-8b-instant,EleutherAI/pythia-410m
WikiMIA_WikiMIA_length256_00012.txt,WikiMIA_length256,1,member,"Organizations from around the world responded to the West African Ebola virus epidemic. In July 2014, the World Health Organization (WHO) convened an emergency meeting with health ministers from eleven countries and announced collaboration on a strategy to co-ordinate technical support to combat the epidemic. In August, they declared the","outbreak an international public health emergency and published a roadmap to guide and coordinate the international response to the outbreak, aiming to stop ongoing Ebola transmission worldwide within 6–9 months. In September, the United Nations Security Council declared the Ebola virus outbreak in the West Africa subregion a ""threat to international peace and security"" and unanimously adopted a resolution urging UN member states to","outbreak a Public Health Emergency of International Concern (PHEIC), a designation that triggered a global response and mobilized international resources to combat the spread of the disease. This declaration marked a significant escalation in the international response, as it allowed for the sharing of data, coordination of efforts, and deployment of personnel and resources",2,4.1578378073836575e-08,0.3004587155963303,0.0,-135.47998567065224,llama-3.1-8b-instant,EleutherAI/pythia-410m
WikiMIA_WikiMIA_length256_00013.txt,WikiMIA_length256,1,member,"Japanese whaling, in terms of active hunting of whales, is estimated by the Japan Whaling Association to have begun around the 12th century. However, Japanese whaling on an industrial scale began around the 1890s when Japan started to participate in the modern whaling industry, at that time an industry in","which many countries participated. Japan resumed commercial whaling in July 2019, and since then whaling activities have been confined to its territorial waters and exclusive economic zone.During the 20th century, Japan was heavily involved in commercial whaling. This continued until the International Whaling Commission (IWC) moratorium on commercial whaling went into effect in 1986. Japan continued to hunt whales using the scientific research provision","its infancy. The country's whaling industry grew rapidly during the late 19th and early 20th centuries, with the establishment of the Japanese Whaling Association in 1912 and the introduction of steam-powered whaling ships. These advancements enabled Japanese whalers to hunt and process whales on a much larger scale,",0,1.0,0.29102844638949676,0.0,-124.78925475932192,llama-3.1-8b-instant,EleutherAI/pythia-410m
