id,dataset,label,membership,prefix,ground_truth,target_completion,run_length,p_rlb,edit_similarity,p_esb,log_p_esb,target_model,reference_model
WikiMIA_WikiMIA_length256_00000.txt,WikiMIA_length256,1,member,"Hurricane Ana was the second tropical cyclone in 2014 to threaten the U.S. state of Hawaii with a direct hit, after Iselle in August. The twenty-first named storm and fifteenth hurricane of the 2014 Pacific hurricane season, Ana formed from a disturbance that formed in the Central Pacific in mid-October.","It rapidly consolidated, and a tropical depression developed by October 13. Aided by favorable conditions, Ana gradually strengthened while moving westward, threatening to pass over the island chain of Hawaii once or several times as indicated by early forecasts. By October 17, it had strengthened to a hurricane south of Hawaii and reached its peak intensity shortly afterwards while also making its closest approach.","The system gradually organized as it moved westward, eventually becoming a tropical depression on October 13. Over the next few days, the depression strengthened into a tropical storm, earning the name Ana, and continued to intensify as it approached the Hawaiian Islands. By October 17, Ana had reached hurricane strength, prompting warnings",0,1.0,0.2959427207637232,0.0,-115.08146881937864,llama-3.3-70b-versatile,EleutherAI/pythia-410m
WikiMIA_WikiMIA_length256_00001.txt,WikiMIA_length256,1,member,"The 2013–2016 epidemic of Ebola virus disease, centered in Western Africa, was the most widespread outbreak of the disease in history. It caused major loss of life and socioeconomic disruption in the region, mainly in Guinea, Liberia and Sierra Leone. The first cases were recorded in Guinea in December 2013;","later, the disease spread to neighbouring Liberia and Sierra Leone, with minor outbreaks occurring in Nigeria and Mali. Secondary infections of medical workers occurred in the United States and Spain. In addition, isolated cases were recorded in Senegal, the United Kingdom and Italy. The number of cases peaked in October 2014 and then began to decline gradually, following the commitment of substantial international resources.","by March 2014, the outbreak had spread to neighboring Liberia and Sierra Leone. The World Health Organization (WHO) was notified of the outbreak in March 2014, and by August of that year, the organization had declared the epidemic a Public Health Emergency of International Concern (PHEIC). The rapid spread of",0,1.0,0.3100233100233101,1.25114512997702e-39,-89.57675931582344,llama-3.3-70b-versatile,EleutherAI/pythia-410m
WikiMIA_WikiMIA_length256_00002.txt,WikiMIA_length256,1,member,"The case of Ashya King concerns a boy named Ashya King, who had a brain tumour. His parents, Brett and Naghemeh King, took their son out of Southampton General Hospital (England) in August 2014 over a disagreement with doctors regarding his treatment.Ashya had a medulloblastoma, which was successfully removed through","surgery on 24 July 2014. He received further neurosurgery on 22 August.His parents desired their son be treated with proton therapy, which they felt was less harmful than conventional radiotherapy. At that time, the National Health Service (NHS) did not provide proton therapy in the United Kingdom. However, it has funded treatment abroad since April 2008 where evidence has shown there to be benefit.","surgery at Southampton General Hospital. However, his parents were dissatisfied with the hospital's proposed treatment plan, which included radiation therapy. The Kings were concerned about the potential long-term side effects of radiation on their son's developing brain and were seeking alternative treatment options, including proton beam therapy, which they believed would be more",1,4.559631270240061e-05,0.2711442786069652,0.0,-129.4637192588998,llama-3.3-70b-versatile,EleutherAI/pythia-410m
WikiMIA_WikiMIA_length256_00003.txt,WikiMIA_length256,0,non_member,"The 16th Houston Film Critics Society Awards were announced on February 18, 2023, at the Midtown Arts & Theater Center Houston (MATCH) in Texas. The nominations were announced on January 10, 2023, with The Banshees of Inisherin and Everything Everywhere All at Once leading the nominations with nine each. Both","films won the most awards with three each, with Everything Everywhere All at Once winning Best Picture. The nominees for the Texas Independent Film Award were announced on December 7, 2022.Hosted by local film critics and film industry notables, the event featured live, abridged performances of the five Best Original Song nominees, which went to ""Naatu Naatu"" from RRR, and the awarding of the","films were major contenders in various categories, including Best Picture, Best Director, and several acting nominations. The Banshees of Inisherin, a black comedy directed by Martin McDonagh, received nods for its ensemble cast, including Colin Farrell and Brendan Gleeson, while Everything Everywhere All at Once, a science fiction film",1,0.00016873043205123395,0.2708860759493671,0.0,-124.57790548225603,llama-3.3-70b-versatile,EleutherAI/pythia-410m
WikiMIA_WikiMIA_length256_00004.txt,WikiMIA_length256,1,member,"The Cuban thaw (Spanish: Deshielo cubano) was the normalization of Cuba–United States relations that began in December 2014 ending a 54-year stretch of hostility between the nations. In March 2016, Barack Obama became the first U.S. president to visit Cuba since Calvin Coolidge, in 1928.On December 17, 2014, U.S. President","Barack Obama and Cuban leader Raúl Castro announced the beginning of the process of normalizing relations between Cuba and the United States. The normalization agreement was secretly negotiated in preceding months, facilitated by Pope Francis and largely hosted by the Government of Canada. Meetings were held in both Canada and Vatican City. The agreement would see the lifting of some U.S. travel restrictions, fewer","Barack Obama and Cuban President Raúl Castro announced the beginning of a process to normalize relations between the two countries. This historic shift in policy was the result of 18 months of secret negotiations between the two governments, facilitated by Canada and the Vatican. The announcement included several key measures, such as the easing of travel",5,1.444791541871382e-05,0.4736842105263158,0.0,-131.93988801203523,llama-3.3-70b-versatile,EleutherAI/pythia-410m
WikiMIA_WikiMIA_length256_00005.txt,WikiMIA_length256,0,non_member,"On January 19, 2023, the United States hit its debt ceiling, beginning an ongoing debt-ceiling crisis. In response, Janet Yellen, the secretary of the treasury, began enacting temporary ""extraordinary measures"". The crisis is part of a political debate within Congress about federal government spending and the national debt that the","U.S. government accrues.In the United States, the debt ceiling is a limit on how much national debt the Treasury Department may incur, defined by Congress. Although the debt ceiling does not authorize new spending, it grants the Treasury greater power over financial endeavors Congress may choose to take. In January 2013, the United States hit the debt ceiling, causing a crisis that persisted until","United States has been grappling with for decades. The debt ceiling, which is the maximum amount of debt that the federal government is allowed to accumulate, has been raised or suspended numerous times over the years to accommodate increasing government spending and borrowing.

As the crisis continues, there are concerns about the potential consequences of a debt ceiling breach",0,1.0,0.26749999999999996,0.0,-139.13668228458846,llama-3.3-70b-versatile,EleutherAI/pythia-410m
WikiMIA_WikiMIA_length256_00006.txt,WikiMIA_length256,1,member,"The 2014 Gaza War, also known as Operation Protective Edge (Hebrew: מִבְצָע צוּק אֵיתָן, romanized: Miv'tza Tzuk Eitan, lit. 'Operation Strong Cliff'), was a military operation launched by Israel on 8 July 2014 in the Gaza Strip, a Palestinian territory that has been governed by Hamas since 2007. Following the","kidnapping and murder of three Israeli teenagers in the West Bank by Hamas-affiliated Palestinian militants, the Israel Defense Forces (IDF) initiated Operation Brother's Keeper, in which some 350 Palestinians, including nearly all of the active Hamas militants in the West Bank, were arrested. Hamas subsequently fired a greater number of rockets into Israel from the Gaza Strip, triggering a seven-week-long conflict between the two","kidnapping and murder of three Israeli teenagers in the West Bank, which Israel blamed on Hamas, the Israeli government launched a series of airstrikes against Hamas targets in the Gaza Strip. The operation was aimed at stopping the rocket attacks from Gaza into Israel, as well as destroying the tunnels and infrastructure used by Hamas to launch these",13,1.4926518137822753e-12,0.380184331797235,0.0,-104.17171602851158,llama-3.3-70b-versatile,EleutherAI/pythia-410m
WikiMIA_WikiMIA_length256_00007.txt,WikiMIA_length256,0,non_member,"The floods in South Africa in February-March 2023 were caused by heavy rainfall as a result of the La Niña weather phenomenon, affecting seven provinces, including Eastern Cape, Northern Cape, Mpumalanga, KwaZulu-Natal, and North West. The floods have caused casualties and damage to homes, businesses, basic infrastructure, roads, bridges and","affected crops and livestock. At least twelve people have died across the provinces and others are missing. In addition to that, two more fatalities have been reported in King Sabata Dalindyebo Local Municipality (Eastern Cape Province), and one person in Komani Town (formerly Queenstown). Several people have been evacuated in Lekwa Local Municipality and residents in the area of Vaal, Vanderkloof, and Bloemhof dams","...other critical public facilities, resulting in significant disruptions to daily life, economic activities, and essential services. The affected communities have been left to cope with the aftermath, including power outages, water shortages, and communication disruptions. The South African government, along with various humanitarian organizations and emergency responders, have been working tirelessly to",0,1.0,0.24105011933174225,0.0,-161.64936272639898,llama-3.3-70b-versatile,EleutherAI/pythia-410m
WikiMIA_WikiMIA_length256_00008.txt,WikiMIA_length256,1,member,Conference of Western Balkan States was a 28 August 2014 conference of heads of states and governments of Western Balkans region initiated by German chancellor Angela Merkel. An idea for organization of conference came in light of the celebration of the 100th anniversary of the beginning of World War I.,It is the first conference in this framework and organizers expressed their desire to continue it in future with Vienna and Paris mentioned as a potential next hosts after Berlin (so called Berlin Process). Günther Oettinger confirmed at conference that event will be organised annually with Vienna as a host city in 2015 and Paris in 2016.The German chancellor announced intention to organize a,"The conference was held in Berlin, Germany, and was attended by the leaders of Albania, Bosnia and Herzegovina, Kosovo, Macedonia, Montenegro, and Serbia. The main goal of the conference was to strengthen regional cooperation and promote economic development in the Western Balkans, as well as to discuss the European integration prospects",0,1.0,0.2784810126582279,1.409496360779508e-35,-80.24724903043534,llama-3.3-70b-versatile,EleutherAI/pythia-410m
WikiMIA_WikiMIA_length256_00009.txt,WikiMIA_length256,1,member,"The war on terror, officially the Global War on Terrorism (GWOT), is a global counterterrorism military campaign initiated by the United States following the September 11 attacks and is also the most recent global conflict spanning multiple wars. The main targets of the campaign were militant Islamist and Salafi jihadist","armed organisations such as Al-Qaeda, the Islamic State, and their international affiliates, which were waging military insurgencies to overthrow governments of various Muslim-majority countries. Other major targets included the Ba'athist regime in Iraq, which was toppled during an invasion in 2003, and various militant factions that fought during the ensuing Iraqi insurgency. The ""war on terror"" was officially declared over in May 2010 and","organizations, such as al-Qaeda and its affiliates, as well as the Taliban, which provided support and shelter to these groups. The campaign has involved a wide range of military, diplomatic, and intelligence operations, including drone strikes, special operations raids, and conventional military interventions, in countries such as Afghanistan, Iraq, Pakistan,",0,1.0,0.30405405405405406,0.0,-123.54209780413657,llama-3.3-70b-versatile,EleutherAI/pythia-410m
WikiMIA_WikiMIA_length256_00010.txt,WikiMIA_length256,1,member,"Hamas, the governing authority in the Gaza Strip, has constructed a sophisticated network of military tunnels since it seized control of the Strip in 2007. The tunnel system branches beneath many Gazan towns and cities, such as Khan Yunis, Jabalia and the Shati refugee camp. The internal tunnels, running some","dozens of kilometres within the Gaza Strip, have several functions. Hamas uses the tunnels to hide its arsenal of rocketry underground, to facilitate communication, to permit munition stocks to be hidden, and to conceal militants, making detection from the air difficult. Hamas leader Khalid Meshal said in an interview with Vanity Fair that the tunnel system is a defensive structure, designed to place obstacles","40 kilometers in length, allow Hamas militants to move undetected and strike from unexpected locations, while also providing a means of escape and evasion from Israeli military operations. The external tunnels, which stretch into Israeli territory, have been used to launch surprise attacks on Israeli soldiers and civilians, as well as to kidnap Israeli citizens",0,1.0,0.24213075060532685,0.0,-156.580633406993,llama-3.3-70b-versatile,EleutherAI/pythia-410m
