id,dataset,label,membership,run_length,p_rlb,edit_similarity,p_esb,prefix,ground_truth,target_completion,target_model,reference_model
booktection_05069_A.txt,booktection,1,member,2,0.02634897641837597,0.2894736842105263,0.0,"Matilda didn’t trust herself to answer him, so she kept quiet. She could feel the anger boiling up inside her. She knew it was wrong to hate her parents like this, but she was finding it very hard not to do so. All the reading she had done had given her a view of life that they", had never seen. If only they would read a little Dickens or Kipling they would soon discover there was more to life than cheating people and watching television.," had never had. They had always been happy, and they had never really understood her. She had always felt that they didn’t love her. She had always felt that they loved their jobs more than they loved her. She had always felt that they were going to find out about her secret and then they would hate her",Qwen/Qwen2.5-1.5B,Qwen/Qwen2.5-0.5B
booktection_05840_A.txt,booktection,1,member,1,0.0003801811544690281,0.27118644067796616,0.0,"“Not he,” said the Dwarf. “I saw the face and I heard the snarl. He only wanted Little Girl for his breakfast. And talking of breakfast, I didn’t want to discourage your Majesties when you said you hoped King Caspian would give you a good one: but meat’s precious"," scarce in camp. And there’s good eating on a bear. It would be a shame to leave the carcass without taking a bit, and it won’t delay us more than half an hour. I dare say you two youngsters—Kings, I should say—know how to skin a bear?”"," scarce, and I don’t think you’ll find any in the castle. I’ve got a little bit of a fish, but it’s not much. And I don’t think you’ll find any eggs, either. I’ve got a few, but they’re not fresh. And I don’t think you’ll find",Qwen/Qwen2.5-1.5B,Qwen/Qwen2.5-0.5B
booktection_15994_A.txt,booktection,0,non_member,1,0.7456331253051758,0.2842465753424658,9.294050410595627e-29,"That must be why Im here. Base Paired it is. Hot Brit spreads his hands magnanimously. Its a clever idea, Felicity, and the timing was great. Or maybe hes not so good at the Google: anyone who knows me either personally or professionally knows that the only people who call me Felicity"," are my former schoolteachers, and even then only on the first day of class or when I was in trouble. Anyway, despite his patronizing tone, hes rightthe timing was great. I wrote Base Paired just as GeneticAlly launched the DNADuo app, and its publication dovetailed perfectly with the rising"," are the ones who know me personally. I have a lot of friends who are not in the business, and they are the ones who know me best. I have a lot of friends who are not in the business, and they are the ones who know me best. I have a lot of friends who are not in",Qwen/Qwen2.5-1.5B,Qwen/Qwen2.5-0.5B
booktection_11951_A.txt,booktection,0,non_member,0,1.0,0.2334630350194552,0.0,"Maybe hes getting lazy. Do you mind if we wait? asked Marion. Since it was her week off from Radio City, she didnt have to worry about the time. Whatever suits you. After he left, Marion turned to Peter. I know hes a jerk, but maybe you could ease up a bit. Ease up",? The sheer stupidity of this investigation is maddening. But if you push too hard hell exclude us entirely.," on him? Peter looked at her in surprise. Ease up on him? Ease up on him? What does that mean? I dont know what youre talking about. She sighed. Peter, you told him to leave you alone. You said yourself that he was a jerk. And you said you didnt want to see",Qwen/Qwen2.5-1.5B,Qwen/Qwen2.5-0.5B
booktection_15836_A.txt,booktection,0,non_member,0,1.0,0.2195121951219512,1.2573936871063656e-32,"So much so, that when Camille’s shift came to an end and she was back in the locker room, she could hardly move her arms above her head. Wincing, she closed her locker and waited for Rachel to do the same. Hanging from rooftops, on buildings, and in some places, it"," seemed as if they grew right out of the stone. It had been a long day, full of subterfuge and secrets and what amounted to treason in the eyes of the occupiers. Vivian had promised Camille her loyalty. She had to believe the woman was sincere. Rachel’s steps were sluggish. They"," was hard to believe that the city was still alive. The city was a living, breathing thing, and it was breathing down their necks. The city was a living, breathing thing, and it was breathing down their necks. The city was a living, breathing thing, and it was breathing down their necks",Qwen/Qwen2.5-1.5B,Qwen/Qwen2.5-0.5B
booktection_09976_A.txt,booktection,1,member,0,1.0,0.2603773584905661,1.2522159652779776e-22,"We had a good laugh at  Waiting for Godot . Nigel had hysterics when I said that Vladimir and Estragon sounded like contraception pills. I now want onemore than anything in the world. If I had to choose between Pandora and a racing bike, I would choose the bike. Sorry, Pandora, but"," that’s how things are. Fish, chips, pickled onions, gherkins, sloppy peas. Nothing was too expensive for Nigel, he gets loads of pocket money. We walked round for a bit then we came back and watched  The Bug-Eyed Monster Strikes Back  on the television. I said the", I am a racing cyclist. I have been a cyclist since I was 12. I have been a cyclist since I was 12. I have been a cyclist since I was 12. I have been a cyclist since I was 12. I have been a cyclist since I was 1,Qwen/Qwen2.5-1.5B,Qwen/Qwen2.5-0.5B
booktection_01944_A.txt,booktection,1,member,1,0.2397959679365158,0.24897959183673468,1.5945294781038888e-24,"When Dunstan Cass turned his back on the cottage, Silas Marner was not more than a hundred yards away from it, plodding along from the village with a sack thrown round his shoulders as an overcoat, and with a horn lantern in his hand. His legs were weary, but his mind was at"," ease, free from the presentiment of change. The sense of security more frequently springs from habit than from conviction, and for this reason it often subsists after such a change in the conditions as might have been expected to suggest alarm."," ease. He had been a long way from home, and he had been a long time in the world. He had been a long time in the world, and he had been a long way from home. He had been a long way from home, and he had been a long time in the world. He had",Qwen/Qwen2.5-1.5B,Qwen/Qwen2.5-0.5B
booktection_12324_A.txt,booktection,0,non_member,0,1.0,0.19702602230483268,0.0,"Simon couldnt help but look back at her and see her expression. She looked up at Penworth and its ivy-covered walls with a melancholy expression, but it was as if she felt sadness for someone other than herself. Perhaps she hadnt internalized that this house would soon be hers. Shed never answered the", question about her marriage date. And Simon was too much a coward to repeat it.," door, but she did come out to the porch to say goodbye. She was wearing a long-sleeved, flowery dress that was a pale yellow, and her hair was pulled back in a bun. She was wearing a simple gold necklace, and her hands were clasped together. She looked at Penworth and",Qwen/Qwen2.5-1.5B,Qwen/Qwen2.5-0.5B
booktection_09760_A.txt,booktection,1,member,0,1.0,0.24561403508771928,9.775112577020684e-13,Christopher Abaddon. He is an invited guest of Mr. Peter Solomon.” Mal’akh spoke the words as if he were announcing the Duke of York. Solomon is expecting Dr. Abaddon.” He pressed a button and the gate opened. Solomon is in the penthouse apartment. Have your guest use the  last ," elevator on the right. It goes all the way up.”   “Thank you.” Mal’akh tipped his hat and drove through. Nothing. Apparently, those who lived here were neither the kind of people who broke into cars nor the kind of people who appreciated being watched. Once in back, he got rid of his", bathroom. He is a guest of Mr. Peter Solomon. He is an invited guest of Mr. Peter Solomon. He is an invited guest of Mr. Peter Solomon. He is an invited guest of Mr. Peter Solomon. He is an invited guest of Mr. Peter Solomon. He is an invited guest of Mr.,Qwen/Qwen2.5-1.5B,Qwen/Qwen2.5-0.5B
booktection_10461_A.txt,booktection,0,non_member,1,0.16474498808383942,0.28744939271255066,9.176547325837059e-13,"Wulf said, Was I really the only one who lived? It appears so. The rest were burned, drowned or frozen. I sent divers and ships to look. He closed his eyes. The Plague of fandauth is spreading, Einlek said. The Nameless One brought a sickness from the Womb"," of Fire, a plague that beset the people of Yikala. It must have returned. Whatever attacked our king, we can be sure it serves our enemy.", of the Sea. The Plague of fandauth is spreading. The Nameless One brought a sickness from the Womb of the Sea. The Plague of fandauth is spreading. The Nameless One brought a sickness from the Womb of the Sea. The Plague of fandauth is spreading.,Qwen/Qwen2.5-1.5B,Qwen/Qwen2.5-0.5B
