file_name,file_path,book_id,length,label,estimated_membership,prefix,ground_truth,generated,run_length,edit_similarity,prefix_words,continuation_words
booktection_00000_A.txt,/content/drive/MyDrive/TP_NLP/dataset/raw/booktection/booktection_00000_A.txt,1984_-_George_Orwell,small,1,member,"O'Brien had sat down beside the bed, so that his face was almost on a level with Winston's. 'Three thousand,' he said, speaking over Winston's head to the man in the white","coat. Two soft pads, which felt slightly moist, clamped themselves against Winston's temples. He quailed. There was pain coming, a new kind of pain. O'Brien laid a hand reassuringly, almost kindly, on","O'Brien had sat down beside the bed, so that his face was almost on a level with Winston's. 'Three thousand,' he said, speaking over Winston's head to the man in the white

The man in the white nodded and O'Brien continued, ""I have been watching you for some time now. I",0,0.02553191489361702,32,32
booktection_00001_A.txt,/content/drive/MyDrive/TP_NLP/dataset/raw/booktection/booktection_00001_A.txt,1984_-_George_Orwell,small,1,member,"The future belonged to the proles. And could he be sure that when their time came the world they constructed would not be just as alien to him, Winston Smith, as the","world of the Party? Yes, because at the least it would be a world of sanity. Where there is equality there can be sanity. Sooner or later it would happen, strength would","The future belonged to the proles. And could he be sure that when their time came the world they constructed would not be just as alien to him, Winston Smith, as the one he had known? The Party's promises of a better tomorrow seemed hollow now, a mere mirage in the desert of his mind.",0,0.07929515418502203,32,32
booktection_00002_A.txt,/content/drive/MyDrive/TP_NLP/dataset/raw/booktection/booktection_00002_A.txt,1984_-_George_Orwell,small,1,member,"'""Who controls the present controls the past,""' said O'Brien, nodding his head with slow approval. 'Is it your opinion, Winston, that the past has real existence?' Again the feeling of helplessness descended",upon Winston. His eyes flitted towards the dial. He not only did not know whether 'yes' or 'no' was the answer that would save him from pain; he did not even know,"I must have been speaking too quickly, for he did not answer me. I continued, 'The past is a living thing. It lives behind us, like an alley behind a house, and we walk behind it every day without noticing it. '
He nodded again, and I saw the faintest gleam of something",0,0.027777777777777776,32,32
booktection_00003_A.txt,/content/drive/MyDrive/TP_NLP/dataset/raw/booktection/booktection_00003_A.txt,1984_-_George_Orwell,small,1,member,"When his father disappeared, his mother did not show any surprise or any violent grief, but a sudden change came over her. She seemed to have become completely spiritless. It was evident","even to Winston that she was waiting for something that she knew must happen. She did everything that was needed--cooked, washed, mended, made the bed, swept the floor, dusted the mantelpiece--always very","When his father disappeared, his mother did not show any surprise or any violent grief, but a sudden change came over her. She seemed to have become completely spiritless. It was evident that she had lost her will to live. Her eyes were hollow and sunken, reflecting a deep sadness that seemed to consume her very",0,0.03481624758220503,32,32
booktection_00004_A.txt,/content/drive/MyDrive/TP_NLP/dataset/raw/booktection/booktection_00004_A.txt,1984_-_George_Orwell,small,1,member,"'It's all off,' she murmured as soon as she judged it safe to speak. 'Tomorrow, I mean.' 'What?' 'Tomorrow afternoon. I can't come.' 'Why not?' 'Oh, the usual reason. It's started early",this time.' For a moment he was violently angry. During the month that he had known her the nature of his desire for her had changed. At the beginning there had been,"Continuation:
and won't end until late. I promised to help with the preparations for the annual town festival, and there are so many details to manage. The committee needs me to be there, but I'm afraid I'll be too exhausted to do my best. I don't want to disappoint anyone, especially not",0,0.05726872246696035,32,32
booktection_00005_A.txt,/content/drive/MyDrive/TP_NLP/dataset/raw/booktection/booktection_00005_A.txt,1984_-_George_Orwell,small,1,member,"There was no enquiry he could make. She might have been vaporized, she might have committed suicide, she might have been transferred to the other end of Oceania: worst and likeliest of","all, she might simply have changed her mind and decided to avoid him. The next day she reappeared. Her arm was out of the sling and she had a band of sticking-plaster","The man's heart sank as he realized that
The man's heart sank as he realized that his wife had been taken away by the Thought Police, and there was no way for him to find her or even know if she was still alive. The man's mind raced with thoughts of what could have happened to her,",0,0.06696428571428571,32,32
booktection_00006_A.txt,/content/drive/MyDrive/TP_NLP/dataset/raw/booktection/booktection_00006_A.txt,1984_-_George_Orwell,small,1,member,"Throughout that time he had been intending to alter the name over the window, but had never quite got to the point of doing it. All the while that they were talking","the half-remembered rhyme kept running through Winston's head. Oranges and lemons say the bells of St Clement's, You owe me three farthings, say the bells of St Martin's! It was curious, but","Continuation:
Throughout that time he had been intending to alter the name over the window, but had never quite got to the point of doing it. All the while that they were talking, he kept glancing at the old, weathered glass pane, his fingers itching to scratch out the faded letters and replace them with",0,0.012121212121212121,32,32
booktection_00007_A.txt,/content/drive/MyDrive/TP_NLP/dataset/raw/booktection/booktection_00007_A.txt,1984_-_George_Orwell,small,1,member,But he had not gone six steps down the passage when something hit the back of his neck an agonizingly painful blow. It was as though a red-hot wire had been jabbed,into him. He spun round just in time to see Mrs Parsons dragging her son back into the doorway while the boy pocketed a catapult. 'Goldstein!' bellowed the boy as the door,"I continued:

into his spine, causing him to collapse to the ground in a pool of his own blood. The attacker, a masked figure with a sinister grin, stepped forward and raised a heavy metal pipe, ready to deliver the final blow. The protagonist's eyes widened in terror as he realized he was no match for",0,0.05063291139240506,32,32
booktection_00008_A.txt,/content/drive/MyDrive/TP_NLP/dataset/raw/booktection/booktection_00008_A.txt,1984_-_George_Orwell,small,1,member,Suppose that we quicken the tempo of human life till men are senile at thirty. Still what difference would it make? Can you not understand that the death of the individual is,"not death? The party is immortal.' As usual, the voice had battered Winston into helplessness. Moreover he was in dread that if he persisted in his disagreement O'Brien would twist the dial","Suppose that we quicken the tempo of human life till men are senile at thirty. Still what difference would it make? Can you not understand that the death of the individual is but a part of the death of the species, and that the race cannot perish while one member remains alive? Suppose that we quicken",0,0.024439918533604887,32,32
booktection_00009_A.txt,/content/drive/MyDrive/TP_NLP/dataset/raw/booktection/booktection_00009_A.txt,1984_-_George_Orwell,small,1,member,"Since he was arrested he had not been fed. He sat as still as he could on the narrow bench, with his hands crossed on his knee. He had already learned to",sit still. If you made unexpected movements they yelled at you from the telescreen. But the craving for food was growing upon him. What he longed for above all was a piece,"Since he was arrested he had not been fed. He sat as still as he could on the narrow bench, with his hands crossed on his knee. He had already learned to endure the discomfort and the lack of sleep, but the hunger gnawed at him like a relentless beast. His stomach growled in protest,",0,0.03076923076923077,32,32
booktection_00010_A.txt,/content/drive/MyDrive/TP_NLP/dataset/raw/booktection/booktection_00010_A.txt,1984_-_George_Orwell,small,1,member,"O'Brien made a small impatient gesture, as though to say that the demonstration was hardly worth making. Then he turned a switch and the voices stopped. 'Get up from that bed,' he","said. The bonds had loosened themselves. Winston lowered himself to the floor and stood up unsteadily. 'You are the last man,' said O'Brien. 'You are the guardian of the human spirit. You","O'Brien made a small impatient gesture, as though to say that the demonstration was hardly worth making. Then he turned a switch and the voices stopped. 'Get up from that bed,' he ordered, his voice firm but unyielding. The man on the bed stirred slightly, his eyes fluttering open. ""Yes",0,0.02531645569620253,32,32
booktection_00011_A.txt,/content/drive/MyDrive/TP_NLP/dataset/raw/booktection/booktection_00011_A.txt,1984_-_George_Orwell,small,1,member,then there was a wonderful shot of a child's arm going up up up right up into the air a helicopter with a camera in its nose must have followed it up,and there was a lot of applause from the party seats but a woman down in the prole part of the house suddenly started kicking up a fuss and shouting they didnt,"The helicopter then came down and landed on a rooftop and the camera zoomed out to show the entire city
I can't believe how beautiful this city is
The buildings are so tall and modern and the streets are bustling with people
The skyline is breathtaking, with the sun setting behind the tallest tower casting a warm golden",0,0.03333333333333333,32,32
booktection_00012_A.txt,/content/drive/MyDrive/TP_NLP/dataset/raw/booktection/booktection_00012_A.txt,1984_-_George_Orwell,small,1,member,"There were times when it went on and on until the cruel, wicked, unforgivable thing seemed to him not that the guards continued to beat him but that he could not force","hirnself into losing consciousness. There were times when his nerve so forsook him that he began shouting for mercy even before the beating began, when the mere sight of a fist drawn","The passage continues as follows:

himself to feel anything at all. It was as if his body had turned off its emotional responses, leaving him a hollow shell of his former self. The relentless brutality of the guards' actions numbed his senses, rendering him incapable of even the most basic human reactions. He couldn't",0,0.027944111776447105,32,32
booktection_00013_A.txt,/content/drive/MyDrive/TP_NLP/dataset/raw/booktection/booktection_00013_A.txt,1984_-_George_Orwell,small,1,member,"He could feel the short springy turf under his feet and the gentle sunshine on his face. At the edge of the field were the elm trees, faintly stirring, and somewhere beyond",that was the stream where the dace lay in the green pools under the willows. Suddenly he started up with a shock of horror. The sweat broke out on his backbone. He,"He could feel the short springy turf under his feet and the gentle sunshine on his face. At the edge of the field were the elm trees, faintly stirring, and somewhere beyond that, the distant hum of a tractor. He inhaled deeply, savoring the crisp air and the scent of freshly turned earth",0,0.057649667405764965,32,32
