sample_id,file_name,label,membership,dataset,split,method,model,backend,membership_score,membership_probability,n_queries,n_correct,absolute_error
WikiMIA_WikiMIA_length128_00000.txt,WikiMIA_WikiMIA_length128_00000.txt,1,member,WikiMIA,WikiMIA_length128,decop_wikimia128_3options,llama-3.1-8b-instant,groq,0.0,0.0,6,0,1.0
WikiMIA_WikiMIA_length128_00001.txt,WikiMIA_WikiMIA_length128_00001.txt,0,non_member,WikiMIA,WikiMIA_length128,decop_wikimia128_3options,llama-3.1-8b-instant,groq,0.5,0.5,6,3,0.5
WikiMIA_WikiMIA_length128_00004.txt,WikiMIA_WikiMIA_length128_00004.txt,1,member,WikiMIA,WikiMIA_length128,decop_wikimia128_3options,llama-3.1-8b-instant,groq,0.3333333333333333,0.3333333333333333,6,2,0.6666666666666667
WikiMIA_WikiMIA_length128_00005.txt,WikiMIA_WikiMIA_length128_00005.txt,0,non_member,WikiMIA,WikiMIA_length128,decop_wikimia128_3options,llama-3.1-8b-instant,groq,0.5,0.5,6,3,0.5
WikiMIA_WikiMIA_length128_00006.txt,WikiMIA_WikiMIA_length128_00006.txt,0,non_member,WikiMIA,WikiMIA_length128,decop_wikimia128_3options,llama-3.1-8b-instant,groq,0.5,0.5,6,3,0.5
WikiMIA_WikiMIA_length128_00007.txt,WikiMIA_WikiMIA_length128_00007.txt,1,member,WikiMIA,WikiMIA_length128,decop_wikimia128_3options,llama-3.1-8b-instant,groq,0.3333333333333333,0.3333333333333333,6,2,0.6666666666666667
WikiMIA_WikiMIA_length128_00008.txt,WikiMIA_WikiMIA_length128_00008.txt,1,member,WikiMIA,WikiMIA_length128,decop_wikimia128_3options,llama-3.1-8b-instant,groq,0.5,0.5,6,3,0.5
WikiMIA_WikiMIA_length128_00009.txt,WikiMIA_WikiMIA_length128_00009.txt,0,non_member,WikiMIA,WikiMIA_length128,decop_wikimia128_3options,llama-3.1-8b-instant,groq,0.3333333333333333,0.3333333333333333,6,2,0.3333333333333333
WikiMIA_WikiMIA_length128_00010.txt,WikiMIA_WikiMIA_length128_00010.txt,0,non_member,WikiMIA,WikiMIA_length128,decop_wikimia128_3options,llama-3.1-8b-instant,groq,0.16666666666666666,0.16666666666666666,6,1,0.16666666666666666
WikiMIA_WikiMIA_length128_00011.txt,WikiMIA_WikiMIA_length128_00011.txt,1,member,WikiMIA,WikiMIA_length128,decop_wikimia128_3options,llama-3.1-8b-instant,groq,0.3333333333333333,0.3333333333333333,6,2,0.6666666666666667
WikiMIA_WikiMIA_length128_00012.txt,WikiMIA_WikiMIA_length128_00012.txt,1,member,WikiMIA,WikiMIA_length128,decop_wikimia128_3options,llama-3.1-8b-instant,groq,0.3333333333333333,0.3333333333333333,6,2,0.6666666666666667
WikiMIA_WikiMIA_length128_00013.txt,WikiMIA_WikiMIA_length128_00013.txt,1,member,WikiMIA,WikiMIA_length128,decop_wikimia128_3options,llama-3.1-8b-instant,groq,0.3333333333333333,0.3333333333333333,6,2,0.6666666666666667
WikiMIA_WikiMIA_length128_00014.txt,WikiMIA_WikiMIA_length128_00014.txt,0,non_member,WikiMIA,WikiMIA_length128,decop_wikimia128_3options,llama-3.1-8b-instant,groq,0.16666666666666666,0.16666666666666666,6,1,0.16666666666666666
WikiMIA_WikiMIA_length128_00015.txt,WikiMIA_WikiMIA_length128_00015.txt,0,non_member,WikiMIA,WikiMIA_length128,decop_wikimia128_3options,llama-3.1-8b-instant,groq,0.3333333333333333,0.3333333333333333,6,2,0.3333333333333333
WikiMIA_WikiMIA_length128_00016.txt,WikiMIA_WikiMIA_length128_00016.txt,1,member,WikiMIA,WikiMIA_length128,decop_wikimia128_3options,llama-3.1-8b-instant,groq,0.6666666666666666,0.6666666666666666,6,4,0.33333333333333337
WikiMIA_WikiMIA_length128_00017.txt,WikiMIA_WikiMIA_length128_00017.txt,1,member,WikiMIA,WikiMIA_length128,decop_wikimia128_3options,llama-3.1-8b-instant,groq,0.6666666666666666,0.6666666666666666,6,4,0.33333333333333337
WikiMIA_WikiMIA_length128_00018.txt,WikiMIA_WikiMIA_length128_00018.txt,1,member,WikiMIA,WikiMIA_length128,decop_wikimia128_3options,llama-3.1-8b-instant,groq,1.0,1.0,6,6,0.0
WikiMIA_WikiMIA_length128_00019.txt,WikiMIA_WikiMIA_length128_00019.txt,1,member,WikiMIA,WikiMIA_length128,decop_wikimia128_3options,llama-3.1-8b-instant,groq,0.5,0.5,6,3,0.5
