file_name,file_path,dataset_family,source_dataset,temporal_bucket,title,url,publish_date,year,month,language,language_short,language_iso639_3,lang,iptc_topic,text_length,label,estimated_membership,text_hash
articulo_actual_00000.txt,dataset/raw/articulos_actuales/articulo_actual_00000.txt,articulos_actuales,INFINI-NEWS,2025-10,Rusia retoma sus vuelos a Holguín con Nordwind Airlines,https://www.cibercuba.com/noticias/2025-10-22-u1-e199894-s27061-nid313378-rusia-retoma-sus-vuelos-holguin-nordwind-airlines,2025-10-22,2025,10,spanish,,spa,spa,economy_business_finance,1841,0,non_member,e15239d1125eb19465f9c1de0154d7f7
articulo_actual_00001.txt,dataset/raw/articulos_actuales/articulo_actual_00001.txt,articulos_actuales,INFINI-NEWS,2025-10,El Valencia Basket ataca al Real Madrid por jugar en Israel,https://okdiario.com/diariomadridista/baloncesto/ataque-encubierto-del-valencia-basket-real-madrid-tener-que-jugar-israel-572865,2025-10-22,2025,10,spanish,,spa,spa,sport,3171,0,non_member,466f03f5717251800bfbad448625c447
articulo_actual_00002.txt,dataset/raw/articulos_actuales/articulo_actual_00002.txt,articulos_actuales,INFINI-NEWS,2025-10,"Tras 11 años de procedimientos judiciales, tribunal finalmente absuelve a Contesse, Longueira y ME-O en el emblemático caso SQM | Diario Financiero",https://www.df.cl/economia-y-politica/pais/despues-de-11-anos-fiscalia-absuelve-a-contesse-longueira-y-me-o-en-el,2025-10-22,2025,10,spanish,,spa,spa,crime_law,3342,0,non_member,b8d0512daae5f519ef51249390fc700f
articulo_actual_00003.txt,dataset/raw/articulos_actuales/articulo_actual_00003.txt,articulos_actuales,INFINI-NEWS,2025-10,Estados Unidos lanza dardo histórico: Cuba era rica antes del castrismo,https://www.cibercuba.com/noticias/2025-10-22-u1-e199894-s27061-nid313383-estados-unidos-lanza-dardo-historico-cuba-era-rica,2025-10-22,2025,10,spanish,,spa,spa,politics,2832,0,non_member,2ac913002c49bf43a288dcaa492adb37
articulo_actual_00004.txt,dataset/raw/articulos_actuales/articulo_actual_00004.txt,articulos_actuales,INFINI-NEWS,2025-10,"El próximo rival de Topuria odia al Real Madrid: ""Daré una paliza al falso aficionado en el Bernabéu""",https://okdiario.com/diariomadridista/real-madrid/proximo-rival-topuria-odia-real-madrid-dare-paliza-falso-aficionado-bernabeu-572889,2025-10-22,2025,10,spanish,,spa,spa,sport,2419,0,non_member,5b5bbd0823115aef5ed5f654ac7b0b58
articulo_actual_00005.txt,dataset/raw/articulos_actuales/articulo_actual_00005.txt,articulos_actuales,INFINI-NEWS,2025-10,Tennis Biancofiore | ingeneroso criticare Sinner portato in alto i colori italiani Jannik ripensaci,https://www.zazoom.it/2025-10-22/tennis-biancofiore-ingeneroso-criticare-sinner-portato-in-alto-i-colori-italiani-jannik-ripensaci/17992119/,2025-10-22,2025,10,spanish,,ita,ita,sport,1111,0,non_member,549e255bc1d9bb015618dff034c147a5
articulo_actual_00006.txt,dataset/raw/articulos_actuales/articulo_actual_00006.txt,articulos_actuales,INFINI-NEWS,2025-10,Error en cuentas de la luz: Boric afirma que responsabilidades políticas ya fueron asumidas y que exigirá a eléctricas devolver “cada peso cobrado de más” | Diario Financiero,https://www.df.cl/economia-y-politica/politica/error-en-cuentas-de-la-luz-boric-afirma-que-responsabilidades-politicas-ya,2025-10-22,2025,10,spanish,,spa,spa,economy_business_finance,2272,0,non_member,f7318a8b9f02a89cf4a2a286e0b78fa2
articulo_actual_00007.txt,dataset/raw/articulos_actuales/articulo_actual_00007.txt,articulos_actuales,INFINI-NEWS,2025-10,Renté se va del aire y continúan los apagones en Cuba,https://www.cibercuba.com/noticias/2025-10-22-u1-e207888-s27061-nid313377-rente-aire-continuan-apagones-cuba,2025-10-22,2025,10,spanish,,spa,spa,disaster_accident,1985,0,non_member,d6eada85fb4e01b7522db3480b23a6cc
articulo_actual_00008.txt,dataset/raw/articulos_actuales/articulo_actual_00008.txt,articulos_actuales,INFINI-NEWS,2025-10,"Real Madrid y Juventus en la Champions League: a qué hora juegan y dónde ver por televisión, online en directo el partido hoy",https://okdiario.com/diariomadridista/real-madrid/real-madrid-juventus-hoy-champions-league-que-hora-donde-ver-partido-directo-tv-online-vivo-569877,2025-10-22,2025,10,spanish,,spa,spa,sport,5177,0,non_member,1839ef037eef1ae063e41a17da469a79
articulo_actual_00009.txt,dataset/raw/articulos_actuales/articulo_actual_00009.txt,articulos_actuales,INFINI-NEWS,2025-10,"Jara aborda desafío de paz social en próximo gobierno: “Quiero ganarle a Kast, pero no a costa de amenazas de un nuevo estallido” | Diario Financiero",https://www.df.cl/economia-y-politica/politica/jara-aborda-desafio-de-paz-social-en-proximo-gobierno-quiero-ganarle-a,2025-10-22,2025,10,spanish,,spa,spa,politics,2962,0,non_member,d50e85569eafe68c632eecf9e0c2935b
