file_name,file_path,dataset_family,source_dataset,original_file_name,original_split,language,label,estimated_membership,text_hash
wikimia_extended_00000.txt,dataset/raw/wikimia_extended/wikimia_extended_00000.txt,wikimia_extended,WikiMIA,WikiMIA_WikiMIA_length128_00000.txt,WikiMIA_length128,english,1,member,49efe15d68d9e54c67b2eff27e25dfa5
wikimia_extended_00001.txt,dataset/raw/wikimia_extended/wikimia_extended_00001.txt,wikimia_extended,WikiMIA,WikiMIA_WikiMIA_length128_00001.txt,WikiMIA_length128,english,0,non_member,18a3ac43946280d798ab91d29f807776
wikimia_extended_00002.txt,dataset/raw/wikimia_extended/wikimia_extended_00002.txt,wikimia_extended,WikiMIA,WikiMIA_WikiMIA_length128_00002.txt,WikiMIA_length128,english,1,member,9fcb29134f71271b105bc134c9e39133
wikimia_extended_00003.txt,dataset/raw/wikimia_extended/wikimia_extended_00003.txt,wikimia_extended,WikiMIA,WikiMIA_WikiMIA_length128_00003.txt,WikiMIA_length128,english,1,member,91aeb74bfb40c41406415458f838e9ff
wikimia_extended_00004.txt,dataset/raw/wikimia_extended/wikimia_extended_00004.txt,wikimia_extended,WikiMIA,WikiMIA_WikiMIA_length128_00004.txt,WikiMIA_length128,english,1,member,42ab17eeea769b18fc07df8ee2904982
wikimia_extended_00005.txt,dataset/raw/wikimia_extended/wikimia_extended_00005.txt,wikimia_extended,WikiMIA,WikiMIA_WikiMIA_length128_00005.txt,WikiMIA_length128,english,0,non_member,2bc914e66098abcf95fd6c0893e83d2a
wikimia_extended_00006.txt,dataset/raw/wikimia_extended/wikimia_extended_00006.txt,wikimia_extended,WikiMIA,WikiMIA_WikiMIA_length128_00006.txt,WikiMIA_length128,english,0,non_member,0d0a03ef573b696fdbaa9456ff2a694c
wikimia_extended_00007.txt,dataset/raw/wikimia_extended/wikimia_extended_00007.txt,wikimia_extended,WikiMIA,WikiMIA_WikiMIA_length128_00007.txt,WikiMIA_length128,english,1,member,bcd702f97f6745b5950dff5cf41ff4a8
wikimia_extended_00008.txt,dataset/raw/wikimia_extended/wikimia_extended_00008.txt,wikimia_extended,WikiMIA,WikiMIA_WikiMIA_length128_00008.txt,WikiMIA_length128,english,1,member,059f3211bc1737b187740c46f9ce7420
wikimia_extended_00009.txt,dataset/raw/wikimia_extended/wikimia_extended_00009.txt,wikimia_extended,WikiMIA,WikiMIA_WikiMIA_length128_00009.txt,WikiMIA_length128,english,0,non_member,eaa58847d27c0c9e5d11b496ebba8621
