file_name,file_path,dataset_family,source_dataset,split,language,label,estimated_membership,text_hash
WikiMIA24_WikiMIA_length32_00000.txt,dataset/raw/wikimia24/WikiMIA24_WikiMIA_length32_00000.txt,wikimia,WikiMIA24,WikiMIA_length32,english,1,member,8fa2aa24005c04357df3dfb56aefd8a5
WikiMIA24_WikiMIA_length32_00001.txt,dataset/raw/wikimia24/WikiMIA24_WikiMIA_length32_00001.txt,wikimia,WikiMIA24,WikiMIA_length32,english,0,non_member,9cd8bd0a0a91704b5342a4205c1e3d09
WikiMIA24_WikiMIA_length32_00002.txt,dataset/raw/wikimia24/WikiMIA24_WikiMIA_length32_00002.txt,wikimia,WikiMIA24,WikiMIA_length32,english,0,non_member,6aa01adca338dd1b37b561de66f73027
WikiMIA24_WikiMIA_length32_00003.txt,dataset/raw/wikimia24/WikiMIA24_WikiMIA_length32_00003.txt,wikimia,WikiMIA24,WikiMIA_length32,english,0,non_member,f00e3a50d4cc682d1849db552a6476a5
WikiMIA24_WikiMIA_length32_00004.txt,dataset/raw/wikimia24/WikiMIA24_WikiMIA_length32_00004.txt,wikimia,WikiMIA24,WikiMIA_length32,english,1,member,b2fa67de97a18e3034dd77f91ea75757
WikiMIA24_WikiMIA_length32_00005.txt,dataset/raw/wikimia24/WikiMIA24_WikiMIA_length32_00005.txt,wikimia,WikiMIA24,WikiMIA_length32,english,0,non_member,615fdeb9a2795b5f323cf56063a10c5a
WikiMIA24_WikiMIA_length32_00006.txt,dataset/raw/wikimia24/WikiMIA24_WikiMIA_length32_00006.txt,wikimia,WikiMIA24,WikiMIA_length32,english,0,non_member,0be55a6f08743a47e503d47af03f89e0
WikiMIA24_WikiMIA_length32_00007.txt,dataset/raw/wikimia24/WikiMIA24_WikiMIA_length32_00007.txt,wikimia,WikiMIA24,WikiMIA_length32,english,0,non_member,a600b3f164f18dc6b807f31906a4a619
WikiMIA24_WikiMIA_length32_00008.txt,dataset/raw/wikimia24/WikiMIA24_WikiMIA_length32_00008.txt,wikimia,WikiMIA24,WikiMIA_length32,english,0,non_member,83d44b88dca09014e320fbc037172c2e
WikiMIA24_WikiMIA_length32_00009.txt,dataset/raw/wikimia24/WikiMIA24_WikiMIA_length32_00009.txt,wikimia,WikiMIA24,WikiMIA_length32,english,0,non_member,ac9fc8b21d788e2d74e673dbcdf25b78
WikiMIA24_WikiMIA_length32_00010.txt,dataset/raw/wikimia24/WikiMIA24_WikiMIA_length32_00010.txt,wikimia,WikiMIA24,WikiMIA_length32,english,1,member,e87c22707f4a945a9436252861238f87
WikiMIA24_WikiMIA_length32_00011.txt,dataset/raw/wikimia24/WikiMIA24_WikiMIA_length32_00011.txt,wikimia,WikiMIA24,WikiMIA_length32,english,0,non_member,86d6d320b9fc84597e2337ceb3707320
WikiMIA24_WikiMIA_length32_00012.txt,dataset/raw/wikimia24/WikiMIA24_WikiMIA_length32_00012.txt,wikimia,WikiMIA24,WikiMIA_length32,english,0,non_member,df616e48135f0960a98e104f84aa389a
WikiMIA24_WikiMIA_length32_00013.txt,dataset/raw/wikimia24/WikiMIA24_WikiMIA_length32_00013.txt,wikimia,WikiMIA24,WikiMIA_length32,english,0,non_member,546f188ab8f2e5f1500784d2a8212508
WikiMIA24_WikiMIA_length32_00014.txt,dataset/raw/wikimia24/WikiMIA24_WikiMIA_length32_00014.txt,wikimia,WikiMIA24,WikiMIA_length32,english,0,non_member,dbd00d85c246cc845b981ed3974959e8
WikiMIA24_WikiMIA_length32_00015.txt,dataset/raw/wikimia24/WikiMIA24_WikiMIA_length32_00015.txt,wikimia,WikiMIA24,WikiMIA_length32,english,0,non_member,57d3459f3397ebd6e8bc49cb4efee1a7
WikiMIA24_WikiMIA_length32_00016.txt,dataset/raw/wikimia24/WikiMIA24_WikiMIA_length32_00016.txt,wikimia,WikiMIA24,WikiMIA_length32,english,1,member,0eb734e99e72235450cb6d1206e52c19
WikiMIA24_WikiMIA_length32_00017.txt,dataset/raw/wikimia24/WikiMIA24_WikiMIA_length32_00017.txt,wikimia,WikiMIA24,WikiMIA_length32,english,1,member,5dc308c976a56387b0ab7363465b2d09
