query_id,method,model,backend,sample_id,book_id,label,length,position,prefix,target_word,sample_idx,generated_text,generated_first_word,similarity,timestamp
87efad7a291d64cfada3c60d05c0b576,simmia,llama-3.3-70b-versatile,groq,BT_0000,1984_-_George_Orwell,1,medium,1,Since,he,0,then,then,0.7240560054779053,2026-06-26 22:41:10
a0b8d97a8a41c00fb1e4124844150125,simmia,llama-3.3-70b-versatile,groq,BT_0000,1984_-_George_Orwell,1,medium,1,Since,he,1,then,then,0.7240560054779053,2026-06-26 22:41:13
97259ab5df75cf80affcd1e6c66fea7e,simmia,llama-3.3-70b-versatile,groq,BT_0000,1984_-_George_Orwell,1,medium,1,Since,he,2,then,then,0.7240560054779053,2026-06-26 22:41:15
37a0bf44242fae0c2b2c921fff3d4ee9,simmia,llama-3.3-70b-versatile,groq,BT_0000,1984_-_George_Orwell,1,medium,2,Since he,was,0,was,was,1.0,2026-06-26 22:41:17
bbd97f45863cdd265c10c9dcdd0f5e8f,simmia,llama-3.3-70b-versatile,groq,BT_0000,1984_-_George_Orwell,1,medium,2,Since he,was,1,was,was,1.0,2026-06-26 22:41:20
4851a18ff9e902474240ea9389f1ec5b,simmia,llama-3.3-70b-versatile,groq,BT_0000,1984_-_George_Orwell,1,medium,2,Since he,was,2,was,was,1.0,2026-06-26 22:41:22
cb5a69a14e2f8044478ee37f52a78e57,simmia,llama-3.3-70b-versatile,groq,BT_0000,1984_-_George_Orwell,1,medium,3,Since he was,arrested,0,a,a,0.7169160842895508,2026-06-26 22:41:24
72b37a7a1af54ead484992463424c0bd,simmia,llama-3.3-70b-versatile,groq,BT_0000,1984_-_George_Orwell,1,medium,3,Since he was,arrested,1,a,a,0.7169160842895508,2026-06-26 22:41:27
b128f917d3cfa26dbf2812e24f2922d3,simmia,llama-3.3-70b-versatile,groq,BT_0000,1984_-_George_Orwell,1,medium,3,Since he was,arrested,2,a,a,0.7169160842895508,2026-06-26 22:41:29
8dd854d4fcf9b212dae2627eeaf3aaac,simmia,llama-3.3-70b-versatile,groq,BT_0000,1984_-_George_Orwell,1,medium,4,Since he was arrested,he,0,in,in,0.6850873231887817,2026-06-26 22:41:31
3067c991c1384e2a6bc2f63525a7a3b0,simmia,llama-3.3-70b-versatile,groq,BT_0000,1984_-_George_Orwell,1,medium,4,Since he was arrested,he,1,in,in,0.6850873231887817,2026-06-26 22:41:34
41d6d1db0b5bb57a787419b1f7825e9f,simmia,llama-3.3-70b-versatile,groq,BT_0000,1984_-_George_Orwell,1,medium,4,Since he was arrested,he,2,in,in,0.6850873231887817,2026-06-26 22:41:36
7bd68bf0cfeb0f4afd8c5e74a2f37084,simmia,llama-3.3-70b-versatile,groq,BT_0000,1984_-_George_Orwell,1,medium,5,Since he was arrested he,had,0,has,has,0.8648369908332825,2026-06-26 22:41:38
56eb3f6a11100e636e8bcd22e2ad4edc,simmia,llama-3.3-70b-versatile,groq,BT_0000,1984_-_George_Orwell,1,medium,5,Since he was arrested he,had,1,has,has,0.8648369908332825,2026-06-26 22:41:41
08fcb151df7eab6265b3d7544b7004e6,simmia,llama-3.3-70b-versatile,groq,BT_0000,1984_-_George_Orwell,1,medium,5,Since he was arrested he,had,2,has,has,0.8648369908332825,2026-06-26 22:41:43
f1a445f563cfcd933cf949d442e58240,simmia,llama-3.3-70b-versatile,groq,BT_0000,1984_-_George_Orwell,1,medium,6,Since he was arrested he had,not,0,not,not,1.0,2026-06-26 22:41:45
c5a4edc02bf84dc6a5506c2fdd424743,simmia,llama-3.3-70b-versatile,groq,BT_0000,1984_-_George_Orwell,1,medium,6,Since he was arrested he had,not,1,not,not,1.0,2026-06-26 22:41:48
87d3991e41257921843a9f1c9c600c25,simmia,llama-3.3-70b-versatile,groq,BT_0000,1984_-_George_Orwell,1,medium,6,Since he was arrested he had,not,2,not,not,1.0,2026-06-26 22:41:50
9b9e453aa4d15898501a992533aee3fc,simmia,llama-3.3-70b-versatile,groq,BT_0000,1984_-_George_Orwell,1,medium,7,Since he was arrested he had not,been,0,seen,seen,0.6992583870887756,2026-06-26 22:41:52
ed55072dd87b94043db96ce3373555ce,simmia,llama-3.3-70b-versatile,groq,BT_0000,1984_-_George_Orwell,1,medium,7,Since he was arrested he had not,been,1,seen,seen,0.6992583870887756,2026-06-26 22:41:55
325bd5e26c9033b0fc10207aeeaf0e62,simmia,llama-3.3-70b-versatile,groq,BT_0000,1984_-_George_Orwell,1,medium,7,Since he was arrested he had not,been,2,seen,seen,0.6992583870887756,2026-06-26 22:41:57
3b4bb4f44b1a3b5ed5c4bf002ce3c81d,simmia,llama-3.3-70b-versatile,groq,BT_0000,1984_-_George_Orwell,1,medium,8,Since he was arrested he had not been,fed.,0,allowed,allowed,0.6329063773155212,2026-06-26 22:42:00
f93db420e01643d771b3079a8ff99344,simmia,llama-3.3-70b-versatile,groq,BT_0000,1984_-_George_Orwell,1,medium,8,Since he was arrested he had not been,fed.,1,allowed,allowed,0.6329063773155212,2026-06-26 22:42:02
307cfe616b164df84e750e9c6f9da24f,simmia,llama-3.3-70b-versatile,groq,BT_0000,1984_-_George_Orwell,1,medium,8,Since he was arrested he had not been,fed.,2,allowed,allowed,0.6329063773155212,2026-06-26 22:42:05
a225309cebf739bd776637b3d4cf368f,simmia,llama-3.3-70b-versatile,groq,BT_0000,1984_-_George_Orwell,1,medium,9,Since he was arrested he had not been fed.,He,0,Properly,Properly,0.6398689150810242,2026-06-26 22:42:07
15009d1147fb0eb35c658f7e1ed1a8e2,simmia,llama-3.3-70b-versatile,groq,BT_0000,1984_-_George_Orwell,1,medium,9,Since he was arrested he had not been fed.,He,1,Properly,Properly,0.6398689150810242,2026-06-26 22:42:09
895ef749142d609b56a565da2531810b,simmia,llama-3.3-70b-versatile,groq,BT_0000,1984_-_George_Orwell,1,medium,9,Since he was arrested he had not been fed.,He,2,Properly,Properly,0.6398689150810242,2026-06-26 22:42:12
4ebc448f0d23cf552b92b38720ff2314,simmia,llama-3.3-70b-versatile,groq,BT_0000,1984_-_George_Orwell,1,medium,10,Since he was arrested he had not been fed. He,sat,0,was,was,0.6372925043106079,2026-06-26 22:42:14
b7ede517efb8a137fe600cdf431deb15,simmia,llama-3.3-70b-versatile,groq,BT_0000,1984_-_George_Orwell,1,medium,10,Since he was arrested he had not been fed. He,sat,1,was,was,0.6372925043106079,2026-06-26 22:42:16
99498f026729b8e943abe681bf436ad1,simmia,llama-3.3-70b-versatile,groq,BT_0000,1984_-_George_Orwell,1,medium,10,Since he was arrested he had not been fed. He,sat,2,was,was,0.6372925043106079,2026-06-26 22:42:19
c75f01b8979c002ee1eb14fb6d82d88f,simmia,llama-3.3-70b-versatile,groq,BT_0000,1984_-_George_Orwell,1,medium,11,Since he was arrested he had not been fed. He sat,as,0,in,in,0.7019021511077881,2026-06-26 22:42:21
e90f0cb1fced16ccdbd6a4a167dc983a,simmia,llama-3.3-70b-versatile,groq,BT_0000,1984_-_George_Orwell,1,medium,11,Since he was arrested he had not been fed. He sat,as,1,in,in,0.7019021511077881,2026-06-26 22:42:23
075be1ca526bb2cfc19882dd0473324c,simmia,llama-3.3-70b-versatile,groq,BT_0000,1984_-_George_Orwell,1,medium,11,Since he was arrested he had not been fed. He sat,as,2,in,in,0.7019021511077881,2026-06-26 22:42:26
efac93b1abef14af3ff82512856404a5,simmia,llama-3.3-70b-versatile,groq,BT_0000,1984_-_George_Orwell,1,medium,12,Since he was arrested he had not been fed. He sat as,still,0,still,still,1.0,2026-06-26 22:42:28
4a5d64cc9659a497459fc2607549c322,simmia,llama-3.3-70b-versatile,groq,BT_0000,1984_-_George_Orwell,1,medium,12,Since he was arrested he had not been fed. He sat as,still,1,still,still,1.0,2026-06-26 22:42:30
d846482c4ba0c67eda16a29abe1d92a4,simmia,llama-3.3-70b-versatile,groq,BT_0000,1984_-_George_Orwell,1,medium,12,Since he was arrested he had not been fed. He sat as,still,2,still,still,1.0,2026-06-26 22:42:33
36199557283085aea8297aaa32c1f5e6,simmia,llama-3.3-70b-versatile,groq,BT_0000,1984_-_George_Orwell,1,medium,13,Since he was arrested he had not been fed. He sat as still,as,0,as,as,1.0,2026-06-26 22:42:35
dab8d6793df0d10964d2f6617e5568cc,simmia,llama-3.3-70b-versatile,groq,BT_0000,1984_-_George_Orwell,1,medium,13,Since he was arrested he had not been fed. He sat as still,as,1,as,as,1.0,2026-06-26 22:42:37
bac40b404d2f8b0c227161831d0d0268,simmia,llama-3.3-70b-versatile,groq,BT_0000,1984_-_George_Orwell,1,medium,13,Since he was arrested he had not been fed. He sat as still,as,2,as,as,1.0,2026-06-26 22:42:40
2017c141f6e055f4482cd6edd38f645e,simmia,llama-3.3-70b-versatile,groq,BT_0000,1984_-_George_Orwell,1,medium,14,Since he was arrested he had not been fed. He sat as still as,he,0,possible,possible,0.6243336200714111,2026-06-26 22:42:42
a232b40ba5847f472cc92b8158061c03,simmia,llama-3.3-70b-versatile,groq,BT_0000,1984_-_George_Orwell,1,medium,14,Since he was arrested he had not been fed. He sat as still as,he,1,possible,possible,0.6243336200714111,2026-06-26 22:42:44
c25a8a12f088f1f0934f389dcd0b2f78,simmia,llama-3.3-70b-versatile,groq,BT_0000,1984_-_George_Orwell,1,medium,14,Since he was arrested he had not been fed. He sat as still as,he,2,possible,possible,0.6243336200714111,2026-06-26 22:42:47
b772f3bb64d09ee5cfbc0ddb550d4652,simmia,llama-3.3-70b-versatile,groq,BT_0000,1984_-_George_Orwell,1,medium,15,Since he was arrested he had not been fed. He sat as still as he,could,0,"could,","could,",0.9452558159828186,2026-06-26 22:42:49
cf3c19f46610f23aab4dbfbe43bbea24,simmia,llama-3.3-70b-versatile,groq,BT_0000,1984_-_George_Orwell,1,medium,15,Since he was arrested he had not been fed. He sat as still as he,could,1,"could,","could,",0.9452558159828186,2026-06-26 22:42:52
5e754fa963af16a081005ce04e78ec05,simmia,llama-3.3-70b-versatile,groq,BT_0000,1984_-_George_Orwell,1,medium,15,Since he was arrested he had not been fed. He sat as still as he,could,2,"could,","could,",0.9452558159828186,2026-06-26 22:42:54
b345f157cbc5fc1dbcec5d80d8656829,simmia,llama-3.3-70b-versatile,groq,BT_0000,1984_-_George_Orwell,1,medium,16,Since he was arrested he had not been fed. He sat as still as he could,on,0,trying,trying,0.7120724320411682,2026-06-26 22:42:56
